Protein IDs,Frontal Cortex Young 1,Frontal Cortex Young 2,Frontal Cortex Young 3,Frontal Cortex Young 4,Frontal Cortex Old 1,Frontal Cortex Old 2,Frontal Cortex Old 3,Frontal Cortex Old 4,T-test Significant,T-test p value (-log10),T-test Difference,Identified Peptides,Razor and Unique Peptides,Unique Peptides,Sequence Coverage [%],PEP,Mol. Weight [kDa],Chromosome,Strand,Position,Gene Names,Uniprot,Protein Names
IPI00395038;IPI00649107,-0.16,0.16,0.17,0.02,0,-0.1,-0.13,0.11,,0.35,-0.08,16,16,16,17.6,4.61E-133,123.09,11,+,23156041,Xpo1;Crm1;RP23-305E10.1-001;mCG_8765,Q6P5F9;A2AKT7;Q8BYY5;Q921J0,"Exportin-1;Chromosome region maintece 1 protein homolog;Exportin 1, CRM1 homolog (Yeast);Exportin 1, CRM1 homolog (Yeast), isoform CRA_a;Putative uncharacterized protein;Xpo1 protein"
IPI00338309,0.31,0.06,-0.04,0.07,0.18,0.4,0.34,-0.07,,0.35,0.11,95,95,86,23.9,0.00E+00,564.81,13,-,11645370,Ryr2;RYR2;RyR2,O70181;Q60835;Q62174;Q62197;Q80ZZ5;Q9CTT8;Q9ERN6,Ryanodine receptor type 2;Cardiac ryanodine receptor;Ryr2 protein;Putative uncharacterized protein;Cardiac Ca2+ release channel
IPI00131873;IPI00830393;IPI00830412,-0.08,-0.02,-0.09,-0.12,-0.08,-0.08,-0.07,0.04,,0.35,0.03,6,6,6,25.3,9.31E-85,35.88,5,+,138602328,Cops6;Csn6;mCG_10689,O88545;Q3UIT2,"COP9 signalosome complex subunit 6;JAB1-containing signalosome subunit 6;Putative uncharacterized protein;COP9 (Constitutive photomorphogenic) homolog, subunit 6 (Arabidopsis thaliana), isoform CRA_b"
IPI00606638;IPI00762154;IPI00762826,0.14,0.19,0.05,0.02,0.18,-0.11,0.16,-0.17,,0.34,-0.09,15,8,7,3.3,4.76E-60,554.59,2,-,112471537,Ryr3;RP23-21D3.1-001;RYR3,A2AGL3;Q4JFC4;Q4U2G7;Q9QY91,Ryanodine receptor 3;Ryanodine receptor type 3;Ryanodine receptor type-3
IPI00114801;IPI00880424;IPI00880579,-0.05,-0.04,-0.01,-0.03,-0.04,-0.2,-0.12,0.04,,0.34,-0.05,8,8,8,34.3,3.90E-298,43.346,1,-,52846266,Inpp1,P49442,Inositol polyphosphate 1-phosphatase
IPI00420394;IPI00762748;IPI00828638;IPI00655094,0.06,-0.14,-0.12,-0.07,-0.03,0.01,0.06,-0.11,,0.34,0.05,29,28,27,12,3.32E-112,359.4,19,-,16691164,Vps13a;Chac;Kiaa0986;Vps13a 3' variant I;Vps13a 3' variant III;mCG_13987;Vps13a 5' variant I;Vps13a 5' variant II;Vps13a 5' variant III;Vps13a 3' variant V;Vps13a 3' variant VI,Q5H8C4-1;Q5H8C4;A1ILI1;Q6P6M9;Q5H8C4-2;A1ILH6;A1ILI5;Q8C9M0;Q8CDS8,"Vacuolar protein sorting-associated protein 13A;Chorein;Chorea-acanthocytosis protein homolog;Putative uncharacterized protein Vps13a 3' variant I;Putative uncharacterized protein Vps13a 3' variant III;Vps13a protein;MCG13987, isoform CRA_b;Putative uncharacterized protein Vps13a 5' variant I;Putative uncharacterized protein Vps13a 5' variant II;Putative uncharacterized protein Vps13a 5' variant III;Putative uncharacterized protein Vps13a 3' variant V;Putative uncharacterized protein Vps13a 3' variant VI;Putative uncharacterized protein"
IPI00228113;IPI00875833,0.01,-0.18,-0.12,0.01,-0.09,0.13,0.08,-0.13,,0.34,0.07,21,21,21,29.5,3.50E-111,110.72,10,-,6179460,Mthfd1l;Fthfsdc1,Q3V3R1,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial;Formyltetrahydrofolate synthetase"
IPI00109870,-0.02,-0.24,-0.22,-0.12,-0.03,-0.03,0,-0.27,,0.34,0.07,15,15,2,67.9,1.54E-172,34.732,18,+,63137551,Napg;Snapg,Q9CWZ7;Q8C1T5,Gamma-soluble NSF attachment protein;N-ethylmaleimide-sensitive factor attachment protein gamma;Putative uncharacterized protein
IPI00120015;IPI00556777,-0.49,-0.31,-0.11,-0.53,-0.77,-0.55,-0.39,-0.24,,0.34,-0.13,8,8,8,14.2,1.42E-64,77.573,3,-,81896350,Gucy1a3;Gucy1a1,Q9ERL9;Q6GTG0,"Guanylate cyclase soluble subunit alpha-3;Soluble guanylate cyclase large subunit;GCS-alpha-1;Guanylate cyclase 1, soluble, alpha 3;Gucy1a3 protein;Putative uncharacterized protein"
IPI00874440;IPI00224626;IPI00459494,0.03,-0.19,-0.24,-0.09,-0.04,0.15,0.08,-0.29,,0.34,0.1,18,18,18,54.6,0.00E+00,50.549,9,+,25060169,Sept7;Cdc10;mKIAA4020,O55131;Q3UGE0;Q3UNN1;Q5DTS3;Q8C2A3,Septin-7;CDC10 protein homolog;Putative uncharacterized protein;MKIAA4020 protein
IPI00465871;IPI00345158,0.02,-0.11,-0.16,0.04,-0.06,0.25,0.16,-0.18,,0.34,0.09,15,15,15,18,1.37E-166,134.42,2,+,21289194,Gpr158;Kiaa1136;RP23-133B16.1-001,Q8C419;B1AWY4,Probable G-protein coupled receptor 158;G protein-coupled receptor 158
IPI00553576;IPI00135646,-0.05,0.28,0.33,0.18,0.1,-0.07,0.08,0.26,,0.34,-0.09,18,18,18,35.2,3.94E-154,75.474,3,-,121461828,Abcd3;PXMP1;mCG_126778;Pmp70;Pxmp1,Q3U645;Q3UNS0;Q71V77;Q91VT3;Q9DBZ6;P55096,"Putative uncharacterized protein;70kDa peroxisomal membrane protein;ATP-binding cassette, sub-family D (ALD), member 3;ATP-binding cassette, sub-family D (ALD), member 3, isoform CRA_a;ATP-binding cassette sub-family D member 3;70 kDa peroxisomal membrane protein;PMP70;PMP68"
IPI00649691;IPI00882302;IPI00648156,0.47,,-0.05,-0.11,-0.21,,0.08,-0.12,,0.34,-0.19,3,3,3,6.1,1.22E-10,93.09,4,+,108292561,Cc2d1b;Kiaa1836;RP23-406B13.7-002;RP23-406B13.7-003,Q8BRN9;Q7TPN1;A2A8R5;A2A8R6,Coiled-coil and C2 domain-containing protein 1B;Cc2d1b protein;Coiled-coil and C2 domain containing 1B
IPI00341643;IPI00459484;IPI00111741,-0.06,0.3,-0.02,0.11,0.3,0.59,0.09,-0.09,,0.34,0.14,3,3,3,7,1.88E-13,70.292,4,-,82866205,Ttc39b;1810054D07Rik;mCG_8982,Q8BYY4-1;Q8BYY4;B2RX73;Q8BYY4-2,Tetratricopeptide repeat protein 39B;Putative uncharacterized protein;Tetratricopeptide repeat domain 39B
IPI00139637;IPI00761970,-0.05,0.1,0.06,0.04,0.01,-0.06,-0.12,0.11,,0.34,-0.05,2,2,2,14.1,3.47E-17,20.198,15,+,103103331,Copz1;Copz;mCG_15682,P61924;Q542M2;Q8R3M1,"Coatomer subunit zeta-1;Zeta-1-coat protein;Putative uncharacterized protein;Coatomer protein complex, subunit zeta 1, isoform CRA_c;Copz1 protein"
IPI00132278;IPI00881686,-0.34,-0.08,-0.07,-0.03,-0.21,0.04,-0.04,-0.01,,0.34,0.08,14,13,10,85.8,3.02E-165,15.122,5,-,108947581,Cplx1,P63040,Complexin-1;Complexin I;Synaphin-2;921-S
IPI00283862,-0.01,0.12,0.11,-0.07,-0.04,0.02,-0.1,0.07,,0.34,-0.05,6,6,6,25.9,6.21E-57,29.546,7,-,121408122,Psma1;mCG_123908,Q9R1P4;Q3TS44;Q8BTU5;Q9JHS5,Proteasome subunit alpha type-1;Proteasome component C2;Macropain subunit C2;Multicatalytic endopeptidase complex subunit C2;Proteasome nu chain;Proteasome subunit alpha type;20S proteasome subunit C2
IPI00307931;IPI00515349;IPI00123186;IPI00222930,-0.04,0.12,0.12,0.03,-0.03,0.04,0.01,0.07,,0.34,-0.04,8,8,8,18.2,1.77E-78,72.241,11,+,80022574,Rhot1;Arht1,Q8BG51-1;Q8BG51;Q8BG51-4;Q8BG51-3;Q8BG51-2;Q7TPW0,Mitochondrial Rho GTPase 1;Ras homolog gene family member T1;Arht1 protein
IPI00320399;IPI00828976;IPI00466738;IPI00828461;IPI00466817;IPI00623133;IPI00798595;IPI00464348,-0.02,0.85,0.92,0.48,0.07,0.06,0.21,0.9,,0.34,-0.25,9,9,6,27.9,5.92E-73,50.294,10,-,90611862,Tmpo;Lap2;mCG_10339,Q61029-1;Q61029;Q3U7B3;Q3U955;Q3UCI5;Q3UR33;Q61029-3;Q3TNH0;Q61029-2;Q61029-4;Q3TXQ1,"Lamina-associated polypeptide 2, isoforms beta/delta/epsilon/gamma;Thymopoietin isoforms beta/delta/epsilon/gamma;Putative uncharacterized protein;Thymopoietin, isoform CRA_d"
IPI00120165,0.4,0.23,0.33,0.32,0.55,0.08,0.15,0.11,,0.34,-0.1,14,14,14,27.3,3.75E-160,70.264,5,-,8966039,Crot;Cot,Q9DC50;Q3V3N1;Q9QZZ3,Peroxisomal carnitine O-octanoyltransferase;Putative uncharacterized protein;Carnitine octanoyltransferase
IPI00465810,0.1,0.15,0.04,0.05,-0.05,0.07,0.11,0.05,,0.34,-0.04,8,7,7,16,3.59E-69,82.646,3,+,95985109,Sv2a;Kiaa0736;Sv2,Q9JIS5,Synaptic vesicle glycoprotein 2A;Calcium regulator SV2A
IPI00113262,-0.03,0.15,0.15,0.02,0.07,-0.12,-0.07,0.15,,0.34,-0.07,5,5,5,14.5,1.70E-09,34.577,2,+,61549816,Psmd14;Pad1;RP23-1O11.2-001;mCG_15136,O35593;A2AR77;Q3UD26;Q9CSU2,"26S proteasome non-ATPase regulatory subunit 14;26S proteasome regulatory subunit rpn11;MAD1;Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 14;Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 14, isoform CRA_b;Putative uncharacterized protein"
IPI00453821,-0.02,,-0.08,0.29,-0.02,-0.09,,-0.01,,0.34,-0.11,7,6,6,6.2,9.47E-60,155.12,15,+,8059350,Nup155;mKIAA0791,Q99P88;Q3UL43;Q3USP6;Q6ZQ45;Q80X48;Q8BKJ0;Q8BLF5;Q8BLM6;Q8BUA6,Nuclear pore complex protein Nup155;Nucleoporin Nup155;155 kDa nucleoporin;Putative uncharacterized protein;MKIAA0791 protein;Nucleoporin 155
IPI00123058,-0.02,-0.2,-0.2,-0.12,0.01,-0.01,-0.01,-0.27,,0.34,0.07,28,28,28,36.3,0.00E+00,113.39,15,+,91958619,Cntn1,P12960,Contactin-1;Neural cell surface protein F3
IPI00122320;IPI00880688;IPI00928083;IPI00230387;IPI00928348;IPI00882184,0,0.12,0.08,0.15,-0.27,0.34,0.03,-0.24,,0.34,-0.12,5,5,5,22.7,2.10E-34,38.725,16,-,91689587,Cryzl1,Q921W4-1;Q921W4,Quinone oxidoreductase-like protein 1;QOH-1;Zeta-crystallin homolog
IPI00124709;IPI00928040;IPI00928077,0.17,0.22,0.2,0.04,0.04,0.03,0.16,0.21,,0.34,-0.05,3,3,1,48.8,1.31E-51,9.4771,9,+,66793907,Rps27l,Q6ZWY3,40S ribosomal protein S27-like protein
IPI00351252,-0.09,0.04,0,-0.11,-0.04,-0.15,-0.13,0,,0.34,-0.04,14,14,14,30.4,1.89E-87,76.723,3,+,63780115,Gmps;mCG_6377,Q3THK7;B2RRH9,"GMP synthase [glutamine-hydrolyzing];Glutamine amidotransferase;GMP synthetase;Guanine monphosphate synthetase;MCG6377, isoform CRA_a"
IPI00396739;IPI00663812;IPI00652115,-0.11,0.58,0.54,0.17,0.03,-0.15,0,0.54,,0.34,-0.19,13,13,11,16.9,2.21E-93,121.63,8,-,83223845,Smarca5;Snf2h,Q91ZW3;Q3U0F8,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5;Sucrose nonfermenting protein 2 homolog;Putative uncharacterized protein
IPI00463468,-0.18,0.35,0.41,-0.01,0.09,-0.83,0.05,0.29,,0.34,-0.24,11,11,10,24.6,6.80E-85,60.342,1,+,59741853,Nop58;Nol5,Q6DFW4,Nucleolar protein 58;Nucleolar protein 5;SIK-similar protein;MSSP
IPI00133744;IPI00648625;IPI00473640,0.25,0.17,0.21,0.26,0.2,0.11,0.21,0.24,,0.34,-0.03,12,12,12,70.5,7.65E-71,20.082,4,+,24825261,Hrpap20;1110007M04Rik;RP23-372J10.1;RP23-372J10.1-001;mCG_8960;RP23-372J10.1-003,Q9D1H6;A2AJX2;A2AJX3,"Protein HRPAP20;Hormone-regulated proliferation-associated protein of 20 kDa homolog;Novel protein (Possible ortholog of Rat hormone-regulated proliferation-associated 20 kDa protein (HRPAP20));RIKEN cDNA 1110007M04, isoform CRA_c"
IPI00312759;IPI00857459,-0.88,-0.87,-0.46,-0.69,-0.34,-0.71,-0.71,,,0.34,0.14,3,3,3,9.9,5.83E-09,53.961,7,+,104100037,Nars2;AI875199,Q8BGV0;Q8BXJ6;Q8K0W7,"Probable asparaginyl-tRNA synthetase, mitochondrial;Asparagine--tRNA ligase;Putative uncharacterized protein;Nars2 protein"
IPI00129479,0.2,0.09,0.03,0.09,0.18,0.33,0.23,-0.04,,0.34,0.07,9,9,9,24.7,1.24E-82,47.335,10,-,126634124,Pip4k2c;Pip5k2c,Q91XU3,Phosphatidylinositol-5-phosphate 4-kinase type-2 gamma;Phosphatidylinositol-5-phosphate 4-kinase type II gamma
IPI00336509;IPI00648806,0,0.17,0.16,0.39,-0.06,,0.06,0.24,,0.34,-0.1,9,9,9,23.9,9.48E-135,54.044,11,-,57296502,Fam114a2,Q8VE88-1;Q8VE88;Q8VE88-2,Protein FAM114A2
IPI00169546,-0.18,0.22,0.07,-0.03,-0.09,-0.25,-0.35,0.25,,0.34,-0.13,4,4,2,14.8,4.52E-32,41.984,13,-,31911453,Gmds,Q8K0C9,"GDP-mannose 4,6 dehydratase;GDP-D-mannose dehydratase"
IPI00875792,-0.17,0.81,0.68,0.27,-0.16,-0.09,-0.14,0.86,,0.34,-0.28,16,16,1,49.8,0.00E+00,25.027,,,,,,
IPI00153792,-0.04,-0.11,-0.09,-0.06,-0.09,-0.07,-0.04,-0.03,,0.34,0.02,5,5,5,70.6,1.76E-41,13.373,17,-,56747045,Qil1,Q8R404,Protein QIL1
IPI00126861,-0.05,0.13,-0.01,0.1,0.1,-0.06,0.13,0.25,,0.34,0.06,15,15,15,30.3,3.78E-230,77.06,2,-,157942141,Tgm2,P21981,Protein-glutamine gamma-glutamyltransferase 2;Tissue transglutaminase;TGase C;Transglutaminase-2
IPI00876341,0.12,-0.05,-0.15,,0.12,,0.01,0.03,,0.34,0.08,15,1,1,67.1,0.00E+00,30.752,8,-,23687565,Vdac3,Q60931;Q3TX38;Q3UFA8,Voltage-dependent anion-selective channel protein 3;Outer mitochondrial membrane protein porin 3;Putative uncharacterized protein
IPI00112536;IPI00857077,0.12,0.28,0.25,0.12,0.12,0.09,0.06,0.28,,0.34,-0.06,10,10,10,33.6,2.49E-65,46.325,6,-,54455888,Scrn1;Kiaa0193,Q9CZC8,Secernin-1
IPI00331339;IPI00929835,-0.07,0.05,0.01,-0.07,-0.14,-0.07,-0.19,0.09,,0.34,-0.06,8,8,8,47.3,4.83E-32,20.978,4,-,41661982,Dctn3;RP23-167I12.4-001;mCG_9750,Q9Z0Y1;A2AMR9,"Dynactin subunit 3;Dynactin light chain p24;Dynactin 3;Dynactin 3, isoform CRA_a"
IPI00756257;IPI00750701;IPI00753185;IPI00752007;IPI00752519,-0.02,0.02,0.02,-0.02,0,-0.03,-0.01,0,,0.34,-0.01,1270,1270,3,45.5,0.00E+00,3906.4,2,-,76542037,Ttn,A2ASS6-1;A2ASS6;Q62319;Q8BM32;Q8BUJ0;Q8BUX4;Q8C139;Q9CTL3,Titin;Connectin;Putative uncharacterized protein
IPI00466820;IPI00828628;IPI00475203;IPI00621229;IPI00849948;IPI00274175;IPI00671398,0.03,0.15,0.1,0.1,0.05,0.07,0.04,0.12,,0.34,-0.03,11,11,3,76.9,7.68E-145,24.205,13;4,-,116826441,Rps8;RP23-59L24.9-001;mCG_14435;OTTMUSG00000000623;RP23-169M24.1-001;mCG_7626,P62242;Q3UA25;Q3UJU6;Q497E9;Q9CQW4;Q9CRJ5;Q5M9L9;Q5SZV3,40S ribosomal protein S8;Ribosomal protein S8
IPI00453532;IPI00882382,-0.15,-0.12,0.13,-0.03,-0.07,-0.02,-0.2,-0.13,,0.34,-0.06,6,6,6,8.1,6.85E-72,125.78,7,+,89797139,Eftud1,Q8C0D5,Elongation factor Tu GTP-binding domain-containing protein 1
IPI00125992,0.21,-0.07,-0.1,0.01,0.11,0.3,0.34,-0.21,,0.34,0.12,10,10,10,35,1.80E-73,47.117,11,-,119400033,Nptx1;RP23-161I3.1-001;mCG_15031,Q62443;A2ACL9;Q3UST4,Neuronal pentraxin-1;Neuronal pentraxin I;Neuronal pentraxin 1;Nptx1 protein;Putative uncharacterized protein
IPI00471441;IPI00459326,-0.21,0.35,0.48,0.09,-0.08,-0.25,-0.19,0.48,,0.34,-0.19,6,3,3,29.4,8.36E-60,23.158,6,-,124863699,Ptms,Q9D0J8;Q66JR8;Q80WS9,Parathymosin;Ptms protein
IPI00109764;IPI00874810;IPI00454114,-0.09,0.43,0.44,0.15,-0.11,-0.04,-0.18,0.56,,0.33,-0.18,13,13,13,18.8,1.81E-63,90.875,2,+,160471633,Top1;Top-1;TOP,Q04750;Q3TPX7;Q3TUS4;Q3ULF5;Q569Q5;Q6LBJ0;Q3TSR2;Q6LBJ1,DNA topoisomerase 1;DNA topoisomerase I;Putative uncharacterized protein;Top1 protein;Topoisomerase I
IPI00848992;IPI00153813;IPI00876325;IPI00751036;IPI00880813,0.2,0.08,-0.02,0.03,0.03,0.02,0.08,-0.01,,0.33,-0.04,16,16,16,22,2.22E-82,107.7,5,+,76958348,Exoc1;Sec3l1;Sec3,Q6P1Y9;Q8R3S6;Q3U1G4;Q5PPR2,Exocyst complex component 1;Exocyst complex component Sec3;Putative uncharacterized protein
IPI00137173;IPI00742287;IPI00757186,-0.19,-0.16,-0.22,-0.19,-0.19,-0.18,-0.1,-0.2,,0.33,0.02,6,6,6,19.5,3.57E-32,41.565,17,-,29469021,Mtch1,Q791T5-1;Q791T5;Q791T5-2;Q8CEY5,Mitochondrial carrier homolog 1;Mitochondrial carrier-like protein 1;Putative uncharacterized protein
IPI00320480;IPI00894742;IPI00895501;IPI00895441;IPI00895436,-0.06,1.62,1.43,0.89,0.24,-0.21,-0.09,1.88,,0.33,-0.51,13,13,13,22.5,9.71E-66,63.676,10,-,60561390,Sgpl1;mKIAA1252,Q8R0X7;Q3UDJ2;Q4FK38;Q69ZN1,Sphingosine-1-phosphate lyase 1;Sphingosine-1-phosphate aldolase;Putative uncharacterized protein;Sgpl1 protein;MKIAA1252 protein
IPI00938481;IPI00929857;IPI00654934;IPI00930804;REV__IPI00134514;REV__IPI00923701,0.13,0.11,-0.03,-0.08,0.04,-0.08,-0.03,0.01,,0.33,-0.05,27,27,26,9.1,1.11E-54,369.09,16,+,36875254,Golgb1;mKIAA4151,B2RWW2;Q3UYL3;Q571K1;Q6PAK0;Q80UY9;Q8CGE5,Golgb1 protein;Putative uncharacterized protein;MKIAA4151 protein
IPI00132659;IPI00848594,0.06,0.15,-0.06,-0.06,-0.1,0.05,-0.14,0.05,,0.33,-0.06,5,5,5,15.2,1.54E-18,27.785,10,-,33716367,Rwdd1;Dfrp2,Q9CQK7,RWD domain-containing protein 1;IH1;DRG family-regulatory protein 2
IPI00349069,-0.11,-0.26,-0.22,0.13,-0.24,-0.19,-0.2,-0.13,,0.33,-0.08,8,8,8,14.1,2.55E-39,79.83,2,-,25438539,Parf,Q5U3K5,Putative GTP-binding protein Parf
IPI00119970;IPI00761938,-0.36,-0.17,0.02,-0.47,0.02,-0.06,0.13,-0.49,,0.33,0.15,8,8,8,14.9,3.05E-165,113.22,1,-,134406002,Cntn2;Tax,Q61330;Q3UGZ2;Q3UH39,Contactin-2;Axonin-1;Axonal glycoprotein TAG-1;Transient axonal glycoprotein 1;Putative uncharacterized protein
IPI00850536;IPI00850396;IPI00851068;IPI00848764;IPI00169513;IPI00849138;IPI00115591;IPI00405343;IPI00225049;IPI00459008;IPI00114382,-0.09,-0.02,0.04,0,-0.07,0.14,0.03,0.01,,0.33,0.04,4,4,4,6.4,1.42E-11,52.417,10;18,+,54021767,Csnk1g3;Csnk1g2;mCG_13403,Q8C4X2;Q99K78;Q8BVP5,"Casein kinase I isoform gamma-3;Casein kinase 1, gamma 2;Casein kinase 1, gamma 2, isoform CRA_b;Casein kinase I isoform gamma-2"
IPI00132734;IPI00881953,0,-0.16,-0.18,-0.11,-0.1,0.05,0.03,-0.2,,0.33,0.06,4,2,2,58.4,8.41E-109,10.35,11,-,87793027,Dynll2;Dlc2;RP23-449F16.9-001;mCG_7675,Q9D0M5;B2KGQ2,"Dynein light chain 2, cytoplasmic;Dynein light chain LC8-type 2;8 kDa dynein light chain;DLC8;DLC8b;Dynein light chain 2;Dynein light chain LC8-type 2, isoform CRA_a"
IPI00453849;IPI00317422;IPI00785256;IPI00856749;IPI00856990,0.02,0.25,0.22,0.1,0.04,0.09,0.1,0.15,,0.33,-0.05,12,12,12,34.6,3.35E-80,53.291,18,+,68460064,Rnmt;Kiaa0398,Q9D0L8-1;Q9D0L8;Q9D0L8-3;Q9D0L8-2,mRNA cap guanine-N7 methyltransferase;mRNA (guanine-N(7)-)-methyltransferase;RG7MT1;mRNA cap methyltransferase
IPI00828615;IPI00466711;IPI00134549;IPI00310109;IPI00222967;IPI00222968,-0.17,0.13,0.25,0.08,0.2,0.05,0.04,0.42,,0.33,0.1,6,6,6,16.4,7.21E-140,45.681,X,-,35755316,Lamp2;RP23-193O17.2-001;mCG_1450;RP23-193O17.2-003;Lamp-2;RP23-193O17.2-002,A2A430;Q3TWE1;Q3TXG5;Q3UIW3;Q8C5K0;P17047-1;P17047;Q8BSG8;Q8C876;Q9CZU7;P17047-2;P17047-3,"Lysosomal membrane glycoprotein 2;Lysosomal membrane glycoprotein 2, isoform CRA_d;Putative uncharacterized protein;Lysosomal membrane glycoprotein 2, isoform CRA_a;Lysosome-associated membrane glycoprotein 2;Lysosomal membrane glycoprotein type B;CD107 antigen-like family member B;Lysosomal membrane glycoprotein 2, isoform CRA_b;Lysosomal-associated membrane protein 2"
IPI00417155;IPI00417154;IPI00626707;IPI00417153;IPI00855179;IPI00648711,0.05,-0.01,0.02,0.05,0.04,0.1,0.09,-0.01,,0.33,0.02,31,31,29,25.2,1.84E-146,176.06,4,+,137548937,Eif4g3;RP23-300N21.1-001;RP23-300N21.1-008,Q80XI3-3;Q80XI3;Q80XI3-2;A2AMI2;Q6DI78;Q80XI3-1;Q80XI3-4;A2AMI7;Q3V075,"Eukaryotic translation initiation factor 4 gamma 3;eIF-4-gamma II;Eukaryotic translation initiation factor 4 gamma, 3;Eif4g3 protein;Putative uncharacterized protein"
IPI00355808;IPI00848371;IPI00652652;IPI00462750;IPI00653037;IPI00762112;IPI00227034;IPI00754759,0.35,-0.23,-0.39,-0.14,0.07,0.34,0.22,-0.33,,0.33,0.18,13,10,10,16.8,6.20E-171,106.8,12,+,21117805,Asap2;Ddef2;Gm1523;Gm592;Itgb1bp1;mKIAA0400,Q7SIG6-1;Q7SIG6;Q3UH05;Q3UH27;Q6A074;Q7SIG6-2,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2;Development and differentiation-enhancing factor 2;Pyk2 C-terminus-associated protein;Paxillin-associated protein with ARFGAP activity 3;Putative uncharacterized protein;MKIAA0400 protein"
IPI00110684,-0.02,0.32,0.32,0.09,-0.01,-0.08,-0.11,0.41,,0.33,-0.12,18,18,18,79.9,0.00E+00,32.667,10,+,61111369,Ppa1;Pp;Pyp,Q9D819;Q3UA53;Q4FK49;Q8BTY3,Inorganic pyrophosphatase;Pyrophosphate phospho-hydrolase;Putative uncharacterized protein;Pyp protein
IPI00761177;IPI00169474;IPI00874945,,-0.06,0.3,-0.34,0.34,,0.49,-0.19,,0.33,0.25,5,5,5,8.9,1.12E-08,70.465,3,-,122241643,Fnbp1l;Toca1,Q8K012-1;Q8K012;Q8K012-2,Formin-binding protein 1-like;Transducer of Cdc42-dependent actin assembly protein 1
IPI00129323;IPI00649438;IPI00474970;IPI00221826,-0.16,0.39,0.4,0.04,-0.14,-0.19,-0.08,0.42,,0.33,-0.16,1,1,1,7.3,9.86E-24,19.329,11;17,+,29169618,Sfrs3;Srp20;X16;RP23-73N16.4-001;mCG_21131;OTTMUSG00000006392;RP23-438D7.4-001;mCG_21910,P84104-1;P84104;B2KF41;Q9D6W4;A2A4X6;P84104-2;Q3U781,"Splicing factor, arginine/serine-rich 3;Pre-mRNA-splicing factor SRP20;Protein X16;Splicing factor, arginine/serine-rich 3 (SRp20);MCG21131, isoform CRA_d;Putative uncharacterized protein;Novel protein similar to splicing factor, arginine/serine-rich 3 (SRp20) Sfrs3;MCG21910;MCG21131, isoform CRA_a"
IPI00396701,0.28,-0.09,-0.16,-0.17,-0.17,-0.1,-0.01,-0.23,,0.33,-0.1,4,1,1,22.4,1.33E-16,20.642,14,+,120877666,Rap2a,Q80ZJ1-1;Q80ZJ1,Ras-related protein Rap-2a
IPI00109441;IPI00776409,-0.48,-0.47,-0.37,-0.46,-0.07,-0.52,-0.57,-0.22,,0.33,0.1,1,1,1,3,1.41E-03,49.126,1,-,180885177,Smyd3;Zmynd1,Q9CWR2;Q3TIF7;Q3TR55,SET and MYND domain-containing protein 3;Zinc finger MYND domain-containing protein 1;Putative uncharacterized protein
IPI00555125;IPI00124954,-0.08,1.01,0.8,0.36,0.05,0.02,0.15,0.84,,0.33,-0.26,36,26,25,47.7,0.00E+00,109.55,18,-,6202233,Kif5b;Khcs;Kns1,Q05CG8;Q3UWI9;Q5BL10;Q6NSS5;Q8CFE7;Q9CUT6;Q61768,Kif5b protein;Putative uncharacterized protein;Kinesin family member 5B;Kinesin-1 heavy chain;Ubiquitous kinesin heavy chain;Conventional kinesin heavy chain
IPI00165716;IPI00461744;IPI00756691;IPI00753317,-0.02,-0.05,0.29,0,-0.01,0.04,0.03,-0.12,,0.33,-0.07,5,5,5,15.1,3.31E-70,47.038,2,+,70499633,Gorasp2;RP23-428O15.1-001;mCG_12970;RP23-428O15.1-002,Q99JX3-1;Q99JX3;A2ATI7;Q3TG07;Q3TIK1;Q3TX06;Q99JX3-2;A2ATI9,"Golgi reassembly-stacking protein 2;Golgi reassembly-stacking protein of 55 kDa;Golgi reassembly stacking protein 2;Golgi reassembly stacking protein 2, isoform CRA_a;Putative uncharacterized protein;Golgi reassembly stacking protein 2, isoform CRA_d"
IPI00408059;IPI00118131;IPI00466617;IPI00408024;IPI00457543,-0.03,-0.26,-0.3,-0.1,-0.11,-0.03,0.04,-0.29,,0.33,0.08,14,11,11,23.1,1.55E-88,67.371,12,+,111685518,Ppp2r5c;mKIAA0044,Q6ZQK4;Q60996-1;Q60996;Q60996-3;Q60996-2;Q8C8H4,"MKIAA0044 protein;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform;PP2A, B subunit, B' gamma isoform;PP2A, B subunit, B56 gamma isoform;PP2A, B subunit, PR61 gamma isoform;PP2A, B subunit, R5 gamma isoform;PP2A, B subunit, B'alpha3 isoform;Putative uncharacterized protein"
IPI00122740,-0.34,-0.01,0.1,-0.22,0.01,-0.09,-0.21,0.32,,0.33,0.12,4,4,4,12.1,3.23E-13,35.294,19,+,7131300,Macrod1;Lrp16,Q922B1,MACRO domain-containing protein 1;Protein LRP16
