Supplemental Table 2:  Old vs young brain and muscle nuclei proteins,,,,
Uniprot ID,Gene name,Protein name,log2 fold change,-log 10 t.test
Q8K019,Bclaf1,Bcl-2-associated transcription factor 1,0.482922808,0.208382826
B8JKK2,Rpl15,"Isoform of Q9CZM2, Ribosomal protein L15",0.484662427,0.430779071
G5E866,Sf3b1,"Isoform of Q99NB9, Splicing factor 3B subunit 1",0.484935363,0.45236422
Q8BZ71,Stac3,SH3 and cysteine-rich domain-containing protein 3,0.485756166,0.571492264
O88291,Znf326,DBIRD complex subunit ZNF326,0.486022339,0.349066687
P34884,Mif,Macrophage migration inhibitory factor,0.490071699,0.363069601
Q80ZM5,H1fx,"H1 histone family, member X",0.490259197,0.769063158
Q62318,Trim28,Transcription intermediary factor 1-beta,0.491527946,0.23170258
P68510,Ywhah,14-3-3 protein eta,0.491740233,0.44286894
P09671,Sod2,"Superoxide dismutase [Mn], mitochondrial",0.492208604,0.962738685
Q8C0L0,Tmx4,Thioredoxin-related transmembrane protein 4,0.494413377,0.553666809
P60122,Ruvbl1,RuvB-like 1,0.495200348,0.315532912
O08583,Alyref,THO complex subunit 4,0.497463369,0.198117131
P18872,Gnao1,Guanine nucleotide-binding protein G(o) subunit alpha,0.50006789,0.576625742
O35295,Purb,Transcriptional activator protein Pur-beta,0.501839844,0.257383157
Q78PY7,Snd1,Staphylococcal nuclease domain-containing protein 1,0.502249964,0.432427865
Q9D883,U2af1,Splicing factor U2AF 35 kDa subunit,0.503448052,0.232425943
Q62241,Snrpc,U1 small nuclear ribonucleoprotein C,0.504723456,0.719308401
Q8BI08,Mal2,Protein MAL2,0.510447629,0.341044412
Q9Z1M8,Ik,Protein Red,0.512311109,0.395126746
Q6IRU5,Cltb,Clathrin light chain B,0.51234579,0.376847535
E9PUL5,Prrt2,Proline-rich transmembrane protein 2,0.513289535,0.493419538
Q9DCW4,Etfb,Electron transfer flavoprotein subunit beta,0.514095612,0.546639617
Q921K2,Parp1,"Isoform of P11103, Poly (ADP-ribose) polymerase family, member 1",0.516915514,0.230546911
P99024,Tubb5,Tubulin beta-5 chain,0.521773225,0.558187299
P62814,Atp6v1b2,"V-type proton ATPase subunit B, brain isoform",0.522958754,0.470731749
O88569,Hnrnpa2b1,Heterogeneous nuclear ribonucleoproteins A2/B1,0.525269725,0.327911982
Q6P8J7,Ckmt2,"Creatine kinase S-type, mitochondrial",0.526200093,0.353801856
Q6PFR5,Tra2a,Transformer-2 protein homolog alpha,0.526499276,0.227706602
Q9CQQ7,Atp5f1,"ATP synthase F(0) complex subunit B1, mitochondrial",0.527182904,0.509245111
Q9JL35,Hmgn5,High mobility group nucleosome-binding domain-containing protein 5,0.52770461,0.609484559
P80314,Cct2,T-complex protein 1 subunit beta,0.527835146,1.127122584
P20029,Hspa5,78 kDa glucose-regulated protein,0.529667766,0.204041549
F6ZBL2,Mib1,"Isoform of Q80SY4, E3 ubiquitin-protein ligase MIB1",0.532367144,0.711372319
Q91VL8,Terf2ip,Telomeric repeat-binding factor 2-interacting protein 1,0.536457962,0.490043981
Q9JHS9,Cwc15,Spliceosome-associated protein CWC15 homolog,0.53817581,0.346851574
P29341,Pabpc1,Polyadenylate-binding protein 1,0.545841119,0.681935642
Q9Z103,Adnp,Activity-dependent neuroprotector homeobox protein,0.546894916,0.538114836
Q9R1C7,Prpf40a,Pre-mRNA-processing factor 40 homolog A,0.547247494,0.603415126
P97427,Crmp1,Dihydropyrimidinase-related protein 1,0.548631617,0.287648367
Q9DBJ1,Pgam1,Phosphoglycerate mutase 1,0.554162463,0.761626258
E9Q279,Ptbp1,"Isoform of P17225, Polypyrimidine tract-binding protein 1",0.555598224,0.585540167
Q8R1M2,H2afj,Histone H2A.J,0.55575493,0.381709786
V9GXT5,Nav2,"Isoform of E9Q842, Protein Nav2",0.557323442,0.781502644
P62869,Tceb2,Transcription elongation factor B polypeptide 2,0.557404894,0.496375912
Q9JIG8,Praf2,PRA1 family protein 2,0.557948381,0.52455962
Q640R3,Hepacam,Hepatocyte cell adhesion molecule,0.557957261,0.533597372
Q9QYS9,Qki,Protein quaking,0.558547096,0.561704772
E9Q070,Gm8730,Uncharacterized protein,0.565214446,0.94333615
Q9CQI7,Snrpb2,U2 small nuclear ribonucleoprotein B'',0.569191178,0.460913223
Q99N28,Cadm3,Cell adhesion molecule 3,0.57090343,0.622706623
Q8CI03,Flywch1,FLYWCH-type zinc finger-containing protein 1,0.576816623,1.671469242
Q80TB8,Vat1l,Synaptic vesicle membrane protein VAT-1 homolog-like,0.57890145,0.694309281
O35730,Ring1,E3 ubiquitin-protein ligase RING1,0.580627379,0.722827469
E9Q0T8,Dnah7a,Protein Dnah7a,0.582513891,0.43578833
Q9CR62,Slc25a11,Mitochondrial 2-oxoglutarate/malate carrier protein,0.58984803,0.676828622
A2APA3,Cstf1,"Isoform of Q99LC2, Cleavage stimulation factor subunit 1",0.591687841,0.845131059
Q64525,Hist2h2bb,Histone H2B type 2-B,0.600714896,0.227104637
P63158,Hmgb1,High mobility group protein B1,0.601678953,0.386916346
G3X8Z3,Ccdc146,"Isoform of E9Q9F7, MCG120103, isoform CRA_b",0.603626768,0.882771426
E9Q6R3,Sec22b,"Isoform of O08547, Vesicle-trafficking protein SEC22b",0.604493175,0.656683981
P56391,Cox6b1,Cytochrome c oxidase subunit 6B1,0.605993738,0.236010036
Q8CGY8,Ogt,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,0.607335014,1.485238556
Q9R0U0,Srsf10,Serine/arginine-rich splicing factor 10,0.61380119,0.341172228
Q61937,Npm1,Nucleophosmin,0.61409708,0.278106168
P62806,Hist1h4a,Histone H4,0.619108519,0.601561962
G3UZ34,Eftud2,"Isoform of O08810, 116 kDa U5 small nuclear ribonucleoprotein component",0.628714253,1.069991232
P49586,Pcyt1a,Choline-phosphate cytidylyltransferase A,0.629058782,0.257971494
B1ARW4,Ndufs5,"Isoform of Q99LY9, NADH dehydrogenase [ubiquinone] iron-sulfur protein 5",0.629354076,0.437627632
E9QPT4,Phc3,"Isoform of Q8CHP6, Polyhomeotic-like protein 3",0.629901317,0.506817054
P63011,Rab3a,Ras-related protein Rab-3A,0.631174053,0.610418164
Q9QYR6,Map1a,Microtubule-associated protein 1A,0.638338638,1.512277385
Q9QX47,Son,Protein SON,0.639338002,0.321279537
Q8C078,Camkk2,Calcium/calmodulin-dependent protein kinase kinase 2,0.650093662,0.311983779
Q9CWE0,Mtfr1l,Mitochondrial fission regulator 1-like,0.655079705,0.765628595
Q9CRB6,Tppp3,Tubulin polymerization-promoting protein family member 3,0.657809108,0.459253476
P35979,Rpl12,60S ribosomal protein L12,0.659461336,0.943867487
Q8C2Q8,Atp5c1,"Isoform of Q91VR2, ATP synthase subunit gamma",0.659533412,0.838469266
P62849,Rps24,40S ribosomal protein S24,0.659960233,0.591111648
Q8BTI8,Srrm2,Serine/arginine repetitive matrix protein 2,0.661533018,0.317901712
F8WHF9,Sf1,"Isoform of Q64213, Splicing factor 1",0.662276612,0.494632277
Q8BMK4,Ckap4,Cytoskeleton-associated protein 4,0.664389193,0.376942627
P70399,Tp53bp1,Tumor suppressor p53-binding protein 1,0.664616296,0.666687284
Q923D5,Wbp11,WW domain-binding protein 11,0.670360067,0.45995822
Q8R3Y5,C19orf47,Uncharacterized protein C19orf47 homolog,0.672752898,0.437612014
P17665,Cox7c,"Cytochrome c oxidase subunit 7C, mitochondrial",0.678801288,0.732809072
P43277,Hist1h1d,Histone H1.3,0.682020711,0.590630673
Q9D4T3,Pelp1,"Isoform of Q9DBD5, Proline, glutamic acid and leucine rich protein 1, isoform CRA_b",0.68350141,1.267995658
P62313,Lsm6,U6 snRNA-associated Sm-like protein LSm6,0.683872528,0.539054494
Q810A7,Ddx42,ATP-dependent RNA helicase DDX42,0.686198093,1.618235759
Q8CGC6,Rbm28,RNA-binding protein 28,0.689695542,0.34803267
P63040,Cplx1,Complexin-1,0.690190039,1.051396575
P62307,Snrpf,Small nuclear ribonucleoprotein F,0.690732743,0.380672734
P46061,Rangap1,Ran GTPase-activating protein 1,0.696975496,0.602687953
G5E8R3,Pcx,"Isoform of Q05920, Pyruvate carboxylase",0.700674168,0.590396205
Q9R0L6,Pcm1,Pericentriolar material 1 protein,0.701670878,0.869804881
G3UX35,Smarca4,"Isoform of Q3TKT4, Transcription activator BRG1",0.702016003,1.384507671
Q3THK3,Gtf2f1,General transcription factor IIF subunit 1,0.70442002,1.101231641
P60761,Nrgn,Neurogranin,0.704655452,1.064841571
E9Q5C9,Nolc1,Protein Nolc1,0.705419696,0.296973298
D3YWC2,Arl6ip4,"Isoform of Q9JM93, ADP-ribosylation factor-like 6 interacting protein 4",0.707674708,0.709013689
Q9WVA3,Bub3,Mitotic checkpoint protein BUB3,0.710344037,0.957961183
G3UWL6,Ube2i,"Isoform of P63280, SUMO-conjugating enzyme UBC9",0.710400843,0.400284589
Q6P542,Abcf1,ATP-binding cassette sub-family F member 1,0.712149348,1.061480868
P27546,Map4,Microtubule-associated protein 4,0.712490129,0.737296722
P04370,Mbp,Myelin basic protein,0.712957448,0.50839503
D3Z0S6,Snrpa,"Isoform of Q62189, U1 small nuclear ribonucleoprotein A",0.717770437,0.329122675
Q3TXT3,Inip,SOSS complex subunit C,0.717894685,1.234252731
Q6DVA0,Lemd2,LEM domain-containing protein 2,0.72649289,0.455878246
Q9WTX8,Mad1l1,Mitotic spindle assembly checkpoint protein MAD1,0.728269277,0.626914632
A0A0G2JD95,Rsbn1,"Isoform of Q80T69, Round spermatid basic protein 1",0.731598555,1.601140133
D3Z7R4,Syt1,"Isoform of P46096, Synaptotagmin-1",0.732899905,0.887255356
Q9D787,Ppil2,Peptidyl-prolyl cis-trans isomerase-like 2,0.732952641,1.023629591
Q61029,Tmpo,"Lamina-associated polypeptide 2, isoforms beta/delta/epsilon/gamma",0.734189729,0.368691528
D3Z0V9,Sun1,"Isoform of Q9D666, SUN domain-containing protein 1",0.751302016,0.876763698
Q6PDM2,Srsf1,Serine/arginine-rich splicing factor 1,0.758329922,0.359964007
O70209,Pdlim3,PDZ and LIM domain protein 3,0.771886833,0.323257122
A0A0G2JFH2,Map4,"Isoform of P27546, Microtubule-associated protein 4",0.772753367,0.524448336
Q9CY57,Chtop,PRMT1 protein,0.777799889,0.307361901
Q99LF4,Rtcb,tRNA-splicing ligase RtcB homolog,0.782557893,0.460127105
Q99KJ8,Dctn2,Dynactin subunit 2,0.782785512,0.631935004
D3YWT1,Hnrnph3,"Isoform of D3Z3N4, MCG11326, isoform CRA_b",0.788784122,0.379754577
Q3TZX8,Nol9,Polynucleotide 5'-hydroxyl-kinase NOL9,0.78984195,0.709746825
Q61699,Hsph1,Heat shock protein 105 kDa,0.791235442,0.841651272
H7BXC3,Tpi1,"Isoform of P17751, Triosephosphate isomerase",0.795687308,1.072835959
O88712,Ctbp1,C-terminal-binding protein 1,0.798696424,0.870658554
G3X956,Supt16,"Isoform of Q920B9, FACT complex subunit SPT16",0.804865689,0.709904639
P49312,Hnrnpa1,Heterogeneous nuclear ribonucleoprotein A1,0.805951967,0.396797456
P10922,H1f0,Histone H1.0,0.80603278,0.479161679
D3YTQ3,Hnrnpdl,"Isoform of Q9Z130, Heterogeneous nuclear ribonucleoprotein D-like",0.806816359,0.53229394
Q9D0E1,Hnrnpm,Heterogeneous nuclear ribonucleoprotein M,0.809109209,0.508589886
F8WJG3,Tra2b,"Isoform of P62996, Transformer-2 protein homolog beta",0.809776483,0.453551423
Q9CYI4,Luc7l,Putative RNA-binding protein Luc7-like 1,0.810049918,1.025398416
A1BN54,Actn1,"Isoform of Q7TPR4, Alpha actinin 1a",0.811230936,0.454039836
Q9CXY6,Ilf2,Interleukin enhancer-binding factor 2,0.811719332,0.940442292
A2A6I8,Tnnt3,"Isoform of Q9QZ47, Troponin T, fast skeletal muscle",0.812382878,0.436079335
P47955,Rplp1,60S acidic ribosomal protein P1,0.814121812,0.513277454
Q8R4H7,Nags,"N-acetylglutamate synthase, mitochondrial",0.815256327,0.302886032
Q8VIJ6,Sfpq,"Splicing factor, proline- and glutamine-rich",0.817297564,0.62024763
D3Z786,Mpc1,"Isoform of P63030, Mitochondrial pyruvate carrier 1",0.818324019,0.74617443
P47962,Rpl5,60S ribosomal protein L5,0.820159428,0.736403423
Q8CGZ0,Cherp,Calcium homeostasis endoplasmic reticulum protein,0.820168126,1.61264719
Q921T2,Tor1aip1,Torsin-1A-interacting protein 1,0.823826611,0.269641182
P62908,Rps3,40S ribosomal protein S3,0.823966048,1.503693604
Q9Z0H4,Celf2,CUGBP Elav-like family member 2,0.82547892,1.42902228
Q8K4Q8,Colec12,Collectin-12,0.835280415,1.422600147
Q60865,Caprin1,Caprin-1,0.843775284,1.68657387
Q64524,Hist2h2be,Histone H2B type 2-E,0.850332492,0.56691745
G3XA10,Gm28062,"Heterogeneous nuclear ribonucleoprotein U, isoform CRA_b",0.850467533,0.648311882
P62631,Eef1a2,Elongation factor 1-alpha 2,0.850514813,1.204438545
Q91W39,Ncoa5,Nuclear receptor coactivator 5,0.851547184,0.470429057
Q64511,Top2b,DNA topoisomerase 2-beta,0.857106742,1.882281392
P48962,Slc25a4,ADP/ATP translocase 1,0.859764414,0.26638945
F7BUB8,Epb4.1,"Isoform of P48193, Protein 4.1",0.862162335,1.205856241
E9Q7Q3,Tpm3,"Isoform of P21107, Tropomyosin alpha-3 chain",0.866344443,1.334515894
Q62376,Snrnp70,U1 small nuclear ribonucleoprotein 70 kDa,0.874206184,0.61347645
Q9WTM5,Ruvbl2,RuvB-like 2,0.874456952,0.689113513
Q8R429,Atp2a1,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,0.874566589,0.542306564
Q8BJS4,Sun2,SUN domain-containing protein 2,0.878615247,0.44132413
Q9QZE5,Copg1,Coatomer subunit gamma-1,0.884990295,0.4269842
Q9CQV8,Ywhab,14-3-3 protein beta/alpha,0.891607579,0.66841001
A2AKU9,Atp5c1,"Isoform of Q91VR2, ATP synthase subunit gamma",0.894409165,0.727590631
Q921F2,Tardbp,TAR DNA-binding protein 43,0.903110376,0.545121597
O09165,Casq1,Calsequestrin-1,0.907453095,0.684613113
Q6ZWY8,Tmsb10,Thymosin beta-10,0.911308178,1.224228192
P62264,Rps14,40S ribosomal protein S14,0.91557996,0.412457625
M0QWU8,Dbi,"Isoform of P31786, Acyl-CoA-binding protein",0.919857494,1.762394282
Q8K2T8,Paf1,RNA polymerase II-associated factor 1 homolog,0.925390033,1.396973308
Q9Z2X1,Hnrnpf,Heterogeneous nuclear ribonucleoprotein F,0.928047007,0.667766023
Q60987,Foxg1,Forkhead box protein G1,0.932388121,0.91283151
Q9D0T1,Nhp2l1,NHP2-like protein 1,0.934013513,0.465326233
Q922U1,Prpf3,U4/U6 small nuclear ribonucleoprotein Prp3,0.934096795,1.278131712
Q9R1P4,Psma1,Proteasome subunit alpha type-1,0.935795512,0.678069763
Q69Z99,Znf512,Zinc finger protein 512,0.937098842,0.525037043
P97863,Nfib,Nuclear factor 1 B-type,0.943521491,2.064076405
Q8VDP4,Ccar2,Cell cycle and apoptosis regulator protein 2,0.94441025,0.936862546
Q3TMP8,Tmem38a,Trimeric intracellular cation channel type A,0.9445573,0.685676979
P67778,Phb,Prohibitin,0.948101612,0.277460489
P62322,Lsm5,U6 snRNA-associated Sm-like protein LSm5,0.948518262,0.296190875
Q9CW03,Smc3,Structural maintenance of chromosomes protein 3,0.961735776,0.501745577
Q64522,Hist2h2ab,Histone H2A type 2-B,0.971687984,1.566298934
Q8CH25,Sltm,SAFB-like transcription modulator,0.979568451,0.580871539
E9PUC5,Psd3,"Isoform of Q2PFD7, PH and SEC7 domain-containing protein 3",0.982451441,0.689923946
Q9DCT2,Ndufs3,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",0.985725738,1.118048665
Q61191,Hcfc1,Host cell factor 1,0.993194309,0.606301974
O88569,Hnrnpa2b1,Heterogeneous nuclear ribonucleoproteins A2/B1,0.994301984,0.532232814
S4R1C4,Atp2b2,"Isoform of Q9R0K7, Calcium-transporting ATPase",1.000465955,2.638936221
Q9CZX8,Rps19,40S ribosomal protein S19,1.004290416,0.586730648
P10853,Hist1h2bf,Histone H2B type 1-F/J/L,1.009564587,0.799128269
P62309,Snrpg,Small nuclear ribonucleoprotein G,1.026910242,1.599192156
P84244,H3f3a,Histone H3.3,1.028824504,0.824883272
Q60668,Hnrnpd,Heterogeneous nuclear ribonucleoprotein D0,1.034376681,0.787029477
H3BKM2,Zc3hc1,ALK,1.040319226,0.466458479
Q00PI9,Hnrnpul2,Heterogeneous nuclear ribonucleoprotein U-like protein 2,1.042172149,1.098445046
P67984,Rpl22,60S ribosomal protein L22,1.043509702,0.936735292
E9QN08,Eef1d,"Isoform of P57776, Elongation factor 1-delta",1.045823683,0.913418837
B0R1E3,Hint1,"Isoform of P70349, Histidine triad nucleotide-binding protein 1",1.047225147,0.767261441
Q9CU62,Smc1a,Structural maintenance of chromosomes protein 1A,1.056585513,0.56903212
Q8BH74,Nup107,Nuclear pore complex protein Nup107,1.066067299,1.500551331
Q9JLH8,Tmod4,Tropomodulin-4,1.066094818,0.615049755
P13541,Myh3,Myosin-3,1.073151644,0.526553664
Q5EBG6,Hspb6,Heat shock protein beta-6,1.091567125,0.820832336
Q9Z2D6,Mecp2,Methyl-CpG-binding protein 2,1.106235621,0.790021016
Q9CQS2,Nop10,H/ACA ribonucleoprotein complex subunit 3,1.110778347,0.777776469
A1L3S7,Gatad2b,"Isoform of Q8VHR5, Gatad2b protein",1.111362888,0.898789459
Q9JKB3,Ybx3,Y-box-binding protein 3,1.118476804,0.897451988
Q91VM5,Rbmxl1,"RNA binding motif protein, X-linked-like-1",1.119401287,0.698423322
Q9Z0W3,Nup160,Nuclear pore complex protein Nup160,1.125130856,0.551342369
Q3UN88,Mcpt4,"Isoform of P21812, Mast cell protease 4",1.126630142,1.543663569
Q8BKL1,Ss18,"Isoform of Q62280, Protein SSXT",1.131364587,0.800099733
P46460,Nsf,Vesicle-fusing ATPase,1.134830384,0.975750624
P27661,H2afx,Histone H2AX,1.144506727,0.524051116
A0A0B4J1E2,Snw1,"Isoform of Q9CSN1, SNW domain-containing protein 1",1.149796234,0.460214868
J3QNY1,Gm9242,Protein Gm9242,1.15674045,0.855701993
E9QJU4,Myoz3,"Isoform of Q8R4E4, Myozenin-3",1.158885912,0.35699503
Q8C5U4,C17orf74,Uncharacterized protein C17orf74 homolog,1.165467751,0.631185044
Q91Z49,Fyttd1,UAP56-interacting factor,1.167963873,1.008143213
P08551,Nefl,Neurofilament light polypeptide,1.181603386,0.95566789
E9QMX7,Arhgap30,"Isoform of Q640N3, Rho GTPase-activating protein 30",1.197274326,1.139765413
Q8C1B7,11-Sep,Septin-11,1.203600367,0.901328921
Q9CPP0,Npm3,Nucleoplasmin-3,1.220281951,0.683514444
P31648,Slc6a1,Sodium- and chloride-dependent GABA transporter 1,1.22583421,3.407642883
Q9R0Y5,Ak1,Adenylate kinase isoenzyme 1,1.233682932,0.398446177
Q8K310,Matr3,Matrin-3,1.239470723,0.903611378
B1ATS4,Atp2a3,"Isoform of Q64518, Calcium-transporting ATPase",1.246788587,0.842746359
Q569Z6,Thrap3,Thyroid hormone receptor-associated protein 3,1.254717193,0.785180075
Q922P9,Glyr1,Putative oxidoreductase GLYR1,1.256545301,1.576880894
E9PVI4,Unc5c,"Isoform of O08747, Netrin receptor UNC5C",1.257309039,0.551766533
P62827,Ran,GTP-binding nuclear protein Ran,1.276581553,0.667307879
B2RY56,Rbm25,RNA-binding protein 25,1.294292757,1.128177372
P48678,Lmna,Prelamin-A/C,1.295781297,0.642100101
Q61644,Pacsin1,Protein kinase C and casein kinase substrate in neurons protein 1,1.298566202,1.755562744
Q3UMU9,Hdgfrp2,Hepatoma-derived growth factor-related protein 2,1.313478646,1.158029598
Q7TNT2,Far2,Fatty acyl-CoA reductase 2,1.331449451,1.664719458
G3UVU8,Supt4a,"Isoform of P63271, MCG7669, isoform CRA_a",1.332517556,0.802903259
G3UZI2,Syncrip,"Isoform of Q7TMK9, Heterogeneous nuclear ribonucleoprotein Q",1.345045653,1.480514967
Q99LC3,Ndufa10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",1.346706129,1.188289526
Q99JY0,Hadhb,"Trifunctional enzyme subunit beta, mitochondrial",1.353146161,1.309122858
E9QNN1,Dhx9,"Isoform of O70133, ATP-dependent RNA helicase A",1.353972463,0.831015367
P08113,Hsp90b1,Endoplasmin,1.355393095,2.81920421
Q9QZQ8,H2afy,Core histone macro-H2A.1,1.356764141,0.448777439
Q8CJF7,Ahctf1,Protein ELYS,1.361402506,1.395695335
A2AEX8,Fhl1,"Isoform of P97447, Four and a half LIM domains 1, isoform CRA_b",1.361654095,0.760663616
Q9JIK5,Ddx21,Nucleolar RNA helicase 2,1.372467342,0.87336863
Q9CR67,Tmem33,Transmembrane protein 33,1.3815847,0.681363248
P32067,Ssb,Lupus La protein homolog,1.384353424,2.256624779
Q60900,Elavl3,ELAV-like protein 3,1.393975075,0.803230516
Q8K212,Pacs1,Phosphofurin acidic cluster sorting protein 1,1.394108295,0.904823189
P68040,Gnb2l1,Guanine nucleotide-binding protein subunit beta-2-like 1,1.395301405,1.396677729
P47857,Pfkm,"ATP-dependent 6-phosphofructokinase, muscle type",1.42936659,1.600410939
Q91YQ5,Rpn1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,1.43226702,2.626906079
Q60749,Khdrbs1,"KH domain-containing, RNA-binding, signal transduction-associated protein 1",1.438400051,1.319881704
O08539,Bin1,Myc box-dependent-interacting protein 1,1.442769878,1.644197636
Q8QZT1,Acat1,"Acetyl-CoA acetyltransferase, mitochondrial",1.458704219,1.519359302
P62320,Snrpd3,Small nuclear ribonucleoprotein Sm D3,1.460197127,1.082093737
P35550,Fbl,rRNA 2'-O-methyltransferase fibrillarin,1.490888657,0.752642745
O35326,Srsf5,Serine/arginine-rich splicing factor 5,1.499311363,1.786293071
P62858,Rps28,40S ribosomal protein S28,1.511680107,2.643113399
Q6A078,Cep290,Centrosomal protein of 290 kDa,1.513017425,0.689682906
P10852,Slc3a2,4F2 cell-surface antigen heavy chain,1.515140831,3.09571387
Q9Z1N5,Ddx39b,Spliceosome RNA helicase Ddx39b,1.521626474,1.096985449
E9QAS4,Chd4,"Isoform of Q6PDQ2, Chromodomain-helicase-DNA-binding protein 4",1.569931976,0.710277783
Q9D8E6,Rpl4,60S ribosomal protein L4,1.57080173,1.595234628
O35343,Kpna4,Importin subunit alpha-3,1.593626531,1.546953589
P42669,Pura,Transcriptional activator protein Pur-alpha,1.609584656,1.791440354
Q99MR6,Srrt,Serrate RNA effector molecule homolog,1.613055234,1.812964024
A2A6A1,Gpatch8,G patch domain-containing protein 8,1.629561674,0.992734819
Q9R226,Khdrbs3,"KH domain-containing, RNA-binding, signal transduction-associated protein 3",1.70200715,1.23792954
Q9D6F9,Tubb4a,Tubulin beta-4A chain,1.705182167,1.241778886
P28654,Dcn,Decorin,1.727922186,0.963109455
A2AW05,Ssrp1,"Isoform of Q08943, FACT complex subunit SSRP1",1.777311112,2.405062014
E9PYL9,Gm10036,Protein Gm10036,1.778957638,1.718758264
Q3TEA8,Hp1bp3,Heterochromatin protein 1-binding protein 3,1.795089844,0.79526124
Q8VHE6,Dnah5,"Dynein heavy chain 5, axonemal",1.808912232,0.879746695
Q8VHM5,Hnrnpr,Heterogeneous nuclear ribonucleoprotein R,1.811389246,2.097228117
P30275,Ckmt1,"Creatine kinase U-type, mitochondrial",1.841455151,2.662170961
Q6ZWY9,Hist1h2bc,Histone H2B type 1-C/E/G,1.853914808,1.338519045
Q91VJ5,Pqbp1,Polyglutamine-binding protein 1,1.873984096,1.180715122
P70168,Kpnb1,Importin subunit beta-1,1.903713776,1.331615123
P62315,Snrpd1,Small nuclear ribonucleoprotein Sm D1,1.904605251,1.458013264
E9Q9W7,Pdzd7,Protein Pdzd7,1.918367011,0.563445466
Q9CQF3,Nudt21,Cleavage and polyadenylation specificity factor subunit 5,1.942026967,1.592779566
Q8VDD5,Myh9,Myosin-9,2.037304902,0.42834558
D3YWX2,Ylpm1,"Isoform of Q9R0I7, YLP motif-containing protein 1",2.052457369,1.647493485
Q8BH59,Slc25a12,Calcium-binding mitochondrial carrier protein Aralar1,2.095912134,0.523990985
P62852,Rps25,40S ribosomal protein S25,2.176502088,1.183911613
Q8VE37,Rcc1,Regulator of chromosome condensation,2.331611035,1.900796595
Q80W68,Kirrel,IRRE-like protein 1,2.37769992,0.939648332
Q99KK2,Cmas,N-acylneuraminate cytidylyltransferase,2.887412261,2.318645496
