Protein IDs,Frontal Cortex Expression Change,Hippocampus Expression Change,Cerebellum Expression Change,Heart Expression Change,Kidney Expression Change,Identified Peptides,Razor and Unique Peptides,Unique Peptides,Sequence Coverage [%],PEP,Mol. Weight [kDa],Chromosome,Strand,Chromosomal Position,Gene Names,Uniprot,Protein Names
IPI00330729,-0.08,0.1,,,-0.11,6,6,1,25.8,1.48E-44,38.9,18,+,61714993,Csnk1a1,Q8BK63-1;Q8BK63;Q3U772;Q3U844,Casein kinase I isoform alpha;CK1;Putative uncharacterized protein
IPI00330747;IPI00894940;IPI00407962,0.08,-0.11,0.14,0.33,-0.22,12,12,12,19.8,1.57E-248,87.4,9,+,103904934,Acad11,Q80XL6,Acyl-CoA dehydrogenase family member 11
IPI00330754;IPI00857778,,,,,-0.57,13,1,1,51.3,0.00E+00,38.3,16,+,31422366,Bdh1;Bdh,Q80XN0,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial;3-hydroxybutyrate dehydrogenase"
IPI00330767;IPI00869371,-0.1,,0.06,0.08,-0.5,4,4,1,36,1.22E-29,19.6,6,-,87793076,Cnbp;Cnbp1;Znf9,P53996-1;P53996;Q5QJQ9;Q3U5V2,Cellular nucleic acid-binding protein;Zinc finger protein 9;Putative uncharacterized protein;Cellular nucleic acid binding protein
IPI00330804;IPI00928057;IPI00830977,0.01,0.01,-0.05,0.17,0.07,38,38,25,61.9,0.00E+00,84.8,12,-,111929238,Hsp90aa1;Hsp86;Hsp86-1;Hspca;RP23-60K23.1-001;mCG_14932,P07901;A0PJ91;Q3TJU7;Q3TKA2;Q3TKB9;Q3TKG0;Q3UIF3;Q80Y52;Q8C2A9;Q8C5U3,"Heat shock protein HSP 90-alpha;HSP 86;Tumor-specific transplantation 86 kDa antigen;Hsp90aa1 protein;Putative uncharacterized protein;Heat shock protein 90, alpha (Cytosolic), class A member 1;Heat shock protein 90kDa alpha (Cytosolic), class A member 1;MCG14932, isoform CRA_b"
IPI00330806;IPI00882329;IPI00881450;IPI00880289,0.08,,,,,5,5,5,18.5,6.21E-41,47,4,+,129138923,Bsdc1,Q80Y55,BSD domain-containing protein 1
IPI00330819;IPI00853926;IPI00853900;IPI00757837;IPI00853687;IPI00470036;IPI00222845;IPI00880909;IPI00222250;IPI00886273;IPI00886412;IPI00875231;IPI00881536;IPI00881045;IPI00222421;IPI00886349;IPI00885226,0.03,-0.12,0.15,,,7,7,6,15.7,1.57E-15,53.9,18,-,25637616,Brunol4;Brul4;Celf4,Q7TSY6-5;Q7TSY6;Q7TSY6-6;Q7TSY6-1;Q7TSY6-3;Q7TSY6-2;Q7TSY6-4;Q7TSY6-7,CUG-BP- and ETR-3-like factor 4;Bruno-like protein 4;RNA-binding protein BRUNOL-4
IPI00330833,0.04,0.04,,,1.32,9,9,9,7.9,1.64E-45,188.9,2,-,34838851,C5;Hc,P06684;Q8BNV3;Q99KX9,Complement C5;Hemolytic complement;Complement C5 beta chain;Complement C5 alpha chain;C5a anaphylatoxin;Complement C5 alpha' chain;Putative uncharacterized protein;Hc protein
IPI00330837,0.02,-0.04,,,-0.03,4,4,4,3.8,5.07E-08,102.2,9,+,64880265,Dpp8,Q80YA7;Q3TAE3,Dipeptidyl peptidase 8;Dipeptidyl peptidase VIII;DP8;Putative uncharacterized protein
IPI00330857,0.02,0.11,0.29,,0.12,9,9,8,14.3,5.62E-53,87.8,10,+,42481302,Sec63;Sec63l,Q8VHE0;Q80YG4;Q8K2U5,Translocation protein SEC63 homolog;SEC63;Sec63 protein
IPI00330862;IPI00761216,0.12,0.1,0.4,-0.07,0.18,37,37,27,75.1,0.00E+00,69.4,17,-,6942390,Ezr;Vil2;mCG_4077,P26040;Q3TCP5;Q3UL48;Q3UXR4;Q4KML7;Q8CBU4,Ezrin;p81;Cytovillin;Villin-2;Putative uncharacterized protein;Villin 2
IPI00330873;IPI00757968;IPI00857463,,,,-0.18,,1,1,1,2.8,8.07E-05,44,6,-,71341246,Rmnd5a,Q80YQ8,Protein RMD5 homolog A
IPI00330887;IPI00467747;IPI00856781,-0.16,-0.07,0.07,,,3,3,3,17,8.10E-13,37.9,3,+,156224933,Negr1;Kiaa3001;Ntra;mCG_141003,Q80Z24;A0A4W9,"Neuronal growth regulator 1;Kindred of IgLON;Neurotractin;Putative uncharacterized protein;Neuronal growth regulator 1, isoform CRA_c"
IPI00330903;IPI00223767;IPI00650033;IPI00785500,-0.02,0.06,-0.18,-0.09,-0.99,5,5,5,8.9,1.37E-144,91.5,4,+,154338242,Pank4;RP24-89N4.3-004,Q80YV4-1;Q80YV4;Q80YV4-2;B1AZN7;Q05CZ0,Pantothenate kinase 4;Pantothenic acid kinase 4;Pank4 protein
IPI00330925,-0.3,0.1,0.12,-0.08,0.01,6,3,1,19.2,5.29E-09,23.8,,,,Hmgb1-rs18;bM168F16.1;mCG_49535,Q80YZ1,MCG49535;BM168F16.1 (Novel protein similar to high-mobility group box 1 (Hmgb1))
IPI00330933,0.02,-0.23,,-0.15,0.13,4,4,4,26.6,1.19E-54,26.9,2,+,102913889,Apip;Mmrp19;RP23-16F14.1-001;mCG_9656,Q9WVQ5;A2AWH9,"APAF1-interacting protein;Monocyte/macrophage protein 19;APAF1 interacting protein;APAF1 interacting protein, isoform CRA_b"
IPI00330958;IPI00336873;IPI00230086;IPI00336874,-0.25,-0.07,0.09,-0.09,0.06,10,10,10,35.2,7.79E-86,38.4,5,-,100390028,Hnrnpd;Auf1;Hnrpd,Q60668-1;Q60668;Q60668-3;Q3UXC8;Q60668-2;Q60668-4,Heterogeneous nuclear ribonucleoprotein D0;AU-rich element RNA-binding protein 1;Putative uncharacterized protein
IPI00330966;IPI00874883;IPI00915521,,,,,0.87,4,3,3,3.5,2.76E-24,169.1,11,-,94204609,Abcc3;Cmoat2;Mrp3,B2RX12-1;B2RX12;Q59DK8;B2RX12-2;Q9CVX4;B2RX12-3,Canalicular multispecific organic anion transporter 2;ATP-binding cassette sub-family C member 3;Multidrug resistance-associated protein 3;ATP-binding cassette protein C3 variant B;Putative uncharacterized protein
IPI00331006,0,,,,,2,2,2,2.2,6.17E-05,121.4,16,+,77014314,Usp25,P57080;Q8BR08;Q8CBA4;Q9CSW6,Ubiquitin carboxyl-terminal hydrolase 25;Ubiquitin thioesterase 25;Ubiquitin-specific-processing protease 25;Deubiquitinating enzyme 25;Putative uncharacterized protein
IPI00331014,,,,,,1,1,1,11.1,3.04E-33,23.8,15,+,74551664,,Q80ZW2,UPF0670 protein C8orf55 homolog
IPI00331040,,,,,,1,1,1,2.7,9.84E-04,88.6,11,-,102931618,Plcd3;Kiaa1964,Q8K2J0,"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase delta-3;Phosphoinositide phospholipase C delta-3"
IPI00331052;IPI00798597,,-0.44,,,,2,2,2,8.7,2.63E-15,41.5,1,-,165315040,Gorab;Ntklbp1;Scyl1bp1,Q8BRM2-1;Q8BRM2;Q8BRM2-2,RAB6-interacting golgin;N-terminal kinase-like-binding protein 1;SCY1-like 1-binding protein 1
IPI00331064,-0.02,-0.24,-0.12,-0.21,0,10,10,10,4.8,5.78E-102,257.2,1,-,156239649,Cacna1e;Cach6;Cacnl1a6;Cchra1,Q61290;B2RWX7,"Voltage-dependent R-type calcium channel subunit alpha-1E;Voltage-gated calcium channel subunit alpha Cav2.3;Calcium channel, L type, alpha-1 polypeptide, isoform 6;Brain calcium channel II;Calcium channel, voltage-dependent, R type, alpha 1E subunit"
IPI00331066,-0.07,-0.17,-0.17,,-1.17,19,19,19,75.1,0.00E+00,30,4,+,15808411,Calb1;RP23-338J24.2-001;mCG_2671,P12658;A2AS59;Q8C5H2;Q8CEF3,"Calbindin;Vitamin D-dependent calcium-binding protein, avian-type;Calbindin D28;D-28K;Spot 35 protein;PCD-29;Calbindin-28K;Calbindin-28K, isoform CRA_b;Putative uncharacterized protein"
IPI00331075;IPI00919216;IPI00919134,-0.08,-0.01,-0.29,,,3,3,3,8.8,1.75E-06,43.2,18,+,56732665,Phax;Rnuxa,Q9JJT9;A0PJ63,Phosphorylated adapter RNA export protein;RNA U small nuclear RNA export adapter protein;Phax protein
IPI00331076;IPI00749669,-0.05,-0.09,0.01,0.01,0.04,28,28,28,33.4,4.01E-289,141.5,19,+,47654168,Slk;Kiaa0204;Stk2,O54988-1;O54988;O54988-2;A2RRK3,STE20-like serine/threonine-protein kinase;STE20-related serine/threonine-protein kinase;Serine/threonine-protein kinase 2;STE20-related kinase SMAK;Etk4;Slk protein
IPI00331092;IPI00752798;IPI00116049,-0.03,-0.02,-0.01,0.06,0.1,17,17,6,80.6,1.13E-132,29.6,X,-,99380282,Rps4x;Rps4;RP23-331B22.2-001;mCG_116623,P62702;Q3UXQ6;Q545F8;Q545X8,"40S ribosomal protein S4, X isoform;Putative uncharacterized protein;Ribosomal protein S4 X-linked;MCG116623;Ribosomal protein S4, X-linked"
IPI00331111;IPI00750517;IPI00756851,0.01,0.03,0.11,-0.4,-0.04,10,10,10,33.5,8.15E-89,47.6,2,-,30040644,Ccbl1;Kat;RP23-315H12.5-001;mCG_18309;RP23-315H12.5-007;RP23-315H12.5-006,Q8BTY1;Q05CI8;A2AQY9;A2AQY8,"Kynurenine--oxoglutarate transaminase 1;Kynurenine--oxoglutarate transaminase I;Kynurenine aminotransferase I;Glutamine--phenylpyruvate transaminase;Glutamine transaminase K;Cysteine-S-conjugate beta-lyase;Ccbl1 protein;Cysteine conjugate-beta lyase 1;Cysteine conjugate-beta lyase 1, isoform CRA_d"
IPI00331128;IPI00651876;IPI00751303,-0.14,-0.03,-0.01,-0.13,0.04,9,7,6,49.8,1.59E-76,23.7,8,+,74685247,Rab8a;Mel;Rab8;Rab8A;mCG_17157,P55258;Q0PD50;Q3UHW5,"Ras-related protein Rab-8A;Oncogene c-mel;Rab8A;RAB8A, member RAS oncogene family, isoform CRA_a;Putative uncharacterized protein"
IPI00331135;IPI00387284;IPI00880280;IPI00230611,-0.16,-1.26,-0.1,,-0.63,4,4,3,14,5.61E-25,55,3,+,87946317,Mef2d;mCG_142619,Q63943-1;Q63943;Q921S6;Q3URR2;Q63943-2,Myocyte-specific enhancer factor 2D;Myocyte enhancer factor 2D;Putative uncharacterized protein
IPI00331146,-0.13,-0.01,-0.19,-0.12,-0.02,10,10,10,50.2,1.17E-134,25.7,4,-,114633245,Cmpk1;Cmk;Cmpk;Uck;Umk;Umpk,Q9DBP5,UMP-CMP kinase;Cytidylate kinase;Deoxycytidylate kinase;Cytidine monophosphate kinase;Uridine monophosphate kinase;Uridine monophosphate/cytidine monophosphate kinase
IPI00331155;IPI00850469;IPI00849875;IPI00268627;IPI00120334,-0.1,0,-0.19,-0.11,-0.11,7,7,7,14.7,2.80E-27,42.1,2,+,179906332,Adrm1;Gp110,Q9JKV1;Q8VCI8,Proteasomal ubiquitin receptor ADRM1;Adhesion-regulating molecule 1;110 kDa cell membrane glycoprotein;Rpn13 homolog;Adrm1 protein
IPI00331163;IPI00515371,0.04,0.01,-0.11,0.16,0,13,13,13,90.8,1.22E-171,18.7,11,+,52045539,Skp1;Skp1a;RP23-223A11.5-001;mCG_3634,Q9WTX5;Q3TL58;Q5SUR3,"S-phase kinase-associated protein 1;S-phase kinase-associated protein 1A;Cyclin A/CDK2-associated protein p19;p19skp1;p19A;Putative uncharacterized protein;MCG3634, isoform CRA_b"
IPI00331170;IPI00919078,0,0.06,,-0.15,-0.01,5,5,5,9.7,1.02E-12,77.5,3,-,95634047,Prpf3,Q922U1;Q3UT19,U4/U6 small nuclear ribonucleoprotein Prp3;Pre-mRNA-splicing factor 3;Putative uncharacterized protein
IPI00331172;IPI00885621;IPI00886003,-0.3,,,-0.23,-0.11,3,3,3,11.7,9.19E-26,56.9,3,+,82859473,Plrg1,Q922V4,Pleiotropic regulator 1
IPI00331173,,-0.23,,,0.12,2,2,2,3.2,2.73E-24,71.4,1,-,183746674,Lbr,Q3U9G9;Q811V7,Lamin-B receptor;Integral nuclear envelope inner membrane protein;Lamin B receptor
IPI00331174,-0.02,0.01,-0.01,0.1,0.04,21,21,21,53.7,1.42E-260,59.7,6,+,85402070,Cct7;Ccth;mCG_128675,P80313;Q3TET0;Q3THH8;Q3TIJ7;Q3TJN2;Q3UDB1;Q3UIJ0;Q8C5Q5,"T-complex protein 1 subunit eta;CCT-eta;Putative uncharacterized protein;Chaperonin subunit 7 (Eta), isoform CRA_a"
IPI00331175;IPI00856645;IPI00405611,-0.48,,,0.11,0,8,7,7,11.2,8.49E-34,119.5,13,+,73870542,Slc12a7;Kcc4;mCG_20943,Q9WVL3-1;Q9WVL3;B9EIV8;Q9WVL3-2,"Solute carrier family 12 member 7;Electroneutral potassium-chloride cotransporter 4;K-Cl cotransporter 4;Solute carrier family 12, member 7;Solute carrier family 12, member 7, isoform CRA_b"
IPI00331182;IPI00876084,-0.06,-0.07,0.06,-0.16,0.37,24,24,24,47,0.00E+00,82.8,2,+,57090882,Gpd2;RP23-236H15.1-001;Gdm1,A2AQR0;Q64521,"Glycerol phosphate dehydrogenase 2, mitochondrial;Glycerol-3-phosphate dehydrogenase, mitochondrial;Protein TISP38"
IPI00331188;IPI00918197;IPI00918298,,-0.15,,,,4,4,4,17.5,3.23E-23,24.7,3,-,75321028,Pdcd10;Tfar15,Q8VE70;Q3TVB4,Programmed cell death protein 10;TF-1 cell apoptosis-related protein 15;Putative uncharacterized protein
IPI00331192;IPI00656165;IPI00656182,-1.57,-0.03,,,,3,3,3,17.3,1.06E-37,34.5,16,+,18812419,Ufd1l;mCG_126580,Q8C2D2;Q923C4;Q9CWQ7;P70362;Q9CZJ3,Putative uncharacterized protein;Ubiquitin fusion degradation 1 like;Ubiquitin fusion degradation protein 1 homolog
IPI00331212;IPI00655136;IPI00387322;IPI00828723;IPI00230704;IPI00828536;IPI00828966,-0.12,-0.11,0.02,-0.06,0.03,20,20,4,33.1,0.00E+00,90.4,8,+,11728105,Arhgef7;Kiaa0142;Pak3bp,Q9ES28-2;Q9ES28;Q9ES28-1;Q9ES28-4;Q9ES28-7;Q9ES28-3;Q9ES28-8;Q9ES28-6,Rho guanine nucleotide exchange factor 7;PAK-interacting exchange factor beta;Beta-Pix;p85SPR
IPI00331214,,1.69,,0.2,0.25,7,7,7,21.8,7.36E-153,52.7,5,-,17287834,Cd36;mCG_21846,Q08857;Q3TA14;Q3U6Y9;Q3UAI3;Q3UC79;Q8C6Z4;Q9CT95,"Platelet glycoprotein 4;Platelet glycoprotein IV;GPIIIB;PAS IV;PAS-4;Putative uncharacterized protein;CD36 antigen, isoform CRA_a"
IPI00331223;IPI00762377;IPI00755319,,,,-0.13,,5,5,5,2.5,1.98E-08,354.3,1,+,75371872,Speg;Apeg1;Kiaa1297,Q62407-1;Q62407;Q62407-4;Q62407-3,Striated muscle-specific serine/threonine-protein kinase;Aortic preferentially expressed protein 1;APEG-1
IPI00331236,-0.07,-0.02,-0.1,,,5,5,5,24.3,1.06E-58,40.5,3,-,51319241,Setd7;Kiaa1717;Set7;Set9,Q8VHL1,Histone-lysine N-methyltransferase SETD7;Histone H3-K4 methyltransferase SETD7;H3-K4-HMTase SETD7;SET domain-containing protein 7;SET7/9
IPI00331241,,,,0.13,-0.44,7,5,5,32.1,1.13E-15,25.4,1,+,21230688,Gsta3;Gstyc,P30115;Q9DCU1,Glutathione S-transferase A3;Glutathione S-transferase Yc;Ya3;GST class-alpha member 3;Glutathione S-transferase
IPI00331265;IPI00648564;IPI00468678;IPI00230408;IPI00648815,0.11,0.07,0.01,,,25,1,1,62.4,9.19E-238,39,11,+,104092812,Mapt;Mtapt;Tau;RP23-136D4.1-001;mCG_11217;RP23-136D4.1-006,P10637-5;P10637;Q547J4;B1AQW2;P10637-3;P10637-4,Microtubule-associated protein tau;Neurofibrillary tangle protein;Paired helical filament-tau;Microtubule-associated protein
IPI00331283;IPI00123114;IPI00830426;IPI00830304;IPI00830200;IPI00830531,,,,,0.03,4,4,4,25.5,3.41E-49,29.4,7,-,109006845,Folr1;FR-alpha;mCG_6770;Fbp1;Folbp1,A1A4B2;Q8CFX6;Q9R222;P35846,"Folr1 protein;Folate receptor alpha;Folate receptor 1 (Adult);Folate receptor 1 (Adult), isoform CRA_a;Folate receptor 1;Folate-binding protein 1"
IPI00331286;IPI00109966,0.35,0.95,,1.23,0.89,4,4,4,40.3,4.03E-19,13.8,2,+,121973422,B2m;RP23-34E24.5-001;mCG_11606,Q3U679;Q91XJ8;Q9D239;P01887,Putative uncharacterized protein;Beta-2 microglobulin;Beta-2-microglobulin
IPI00331291;IPI00754628,0.06,,-0.2,,,32,4,1,53.6,0.00E+00,97.3,2,-,32163991,Dnm1;Dnm;Kiaa4093,P39053-6;P39053,Dynamin-1
IPI00331299;IPI00889265,-0.12,-0.2,-0.05,-0.09,,6,6,6,10,1.52E-99,78.9,4,-,126421006,Ncdn;Kiaa0607;Sfap75,Q9Z0E0-1;Q9Z0E0;Q9Z0E0-2,Neurochondrin;Norbin;M-Sema F-associating protein of 75 kDa
IPI00331314;IPI00929870;IPI00761420,-0.03,0.15,0,-1.1,-0.07,14,14,12,11.4,8.99E-122,171.1,15,+,99869160,Dip2b;Kiaa1463,Q3UH60-1;Q3UH60;B2RQC7;Q3UH60-2,Disco-interacting protein 2 homolog B;DIP2 disco-interacting protein 2 homolog B (Drosophila)
IPI00331318;IPI00648852;IPI00652776;IPI00881289,1.34,1.07,1.06,0.92,0.4,8,8,8,30,1.32E-44,34.6,4,+,122513489,Ppt1;Ppt;RP23-232N16.2-001;mCG_5544;RP23-232N16.2-002,O88531;Q3TAR8;Q3U6J9;Q3U6W3;Q3UB92;Q8VBX5;Q3TEL0,Palmitoyl-protein thioesterase 1;Palmitoyl-protein hydrolase 1;Putative uncharacterized protein;Palmitoyl-protein thioesterase
IPI00331327;IPI00116991,-0.09,0.02,0.01,0.05,0.21,13,13,13,29.3,6.94E-72,57.4,18,-,36926352,Hars,A7XUS2;Q3TKU3;Q3U890;Q3UDH1;Q8C2D1;Q8VDX8;Q9D094;Q61035,"Hars;Putative uncharacterized protein;Hars protein;Histidyl-tRNA synthetase, cytoplasmic;Histidine--tRNA ligase"
IPI00331332;IPI00880753,0.08,0.08,0,-0.03,-0.19,7,7,7,70.7,1.71E-191,13.4,6,-,24468666,Ndufa5,Q9CPP6;Q9CX78,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5;NADH-ubiquinone oxidoreductase 13 kDa-B subunit;Complex I-13kD-B;Complex I subunit B13;Putative uncharacterized protein
IPI00331339;IPI00929835,-0.05,0.13,0.08,0.09,0.09,8,8,8,47.3,4.83E-32,21,4,-,41661982,Dctn3;RP23-167I12.4-001;mCG_9750,Q9Z0Y1;A2AMR9,"Dynactin subunit 3;Dynactin light chain p24;Dynactin 3;Dynactin 3, isoform CRA_a"
IPI00331345;IPI00473521;IPI00679159,-0.05,-0.02,-0.05,0.1,0.08,17,17,17,74.6,1.39E-196,29.9,3,-,85941868,Rps3a;mCG_1128,P97351;Q3U5P8;Q3UAC2;Q3UJU5;Q564F3;Q9D1S3,"40S ribosomal protein S3a;Putative uncharacterized protein;Ribosomal protein S3A;MCG1128, isoform CRA_c"
IPI00331361;IPI00652799,,,,,0.11,6,6,6,6.1,5.12E-14,152,11,+,72254871,Mybbp1a;P160;mCG_6657,Q7TPV4;A0JLT5;Q3U2W2;Q3TLF6,"Myb-binding protein 1A;Myb-binding protein of 160 kDa;Mybbp1a protein;Putative uncharacterized protein;MYB binding protein (P160) 1a, isoform CRA_b"
IPI00331385;IPI00649752,-0.02,0.09,-0.03,0.24,0.13,9,9,5,21.7,2.60E-58,56.5,11,-,100444133,Dnajc7;Ttc2;RP23-390D17.1-001;mCG_20508;RP23-390D17.1-005,Q9QYI3;A2A5E2;Q3UL32;Q6VVW6;A2A5E1,"DnaJ homolog subfamily C member 7;Tetratricopeptide repeat protein 2;TPR repeat protein 2;MDj11;DnaJ (Hsp40) homolog, subfamily C, member 7;DnaJ (Hsp40) homolog, subfamily C, member 7, isoform CRA_b;Putative uncharacterized protein;Cytoplasmic CAR retention protein"
IPI00331394;IPI00875924,-0.14,0.13,-0.2,-0.02,0.08,6,6,6,20.2,2.60E-37,52.5,1,-,75305141,Dnpep;mCG_133858,Q9Z2W0;Q3TVK3;Q3U3I6;Q8CAJ7;Q56A00;Q8BPW9,"Aspartyl aminopeptidase;Putative uncharacterized protein;Dnpep protein;Aspartyl aminopeptidase, isoform CRA_a"
IPI00331411;IPI00318901;IPI00648431;IPI00880607,-0.04,0.06,0.15,0,0.11,11,11,11,74.6,7.50E-273,21.2,11,+,104411977,Myl4;Mlc1a;Myla;RP23-380H19.3-001;RP23-380H19.3-007,P09541;Q9CZ19;A2A6Q8,"Myosin light chain 4;Myosin light chain 1, atrial/fetal isoform;MLC1EMB;Myosin, light polypeptide 4;Putative uncharacterized protein"
IPI00331413;IPI00227969;IPI00752327,-0.26,0.1,0.09,-0.21,0.09,12,12,1,14.8,2.11E-98,119.6,2,+,71624997,Itga6;RP23-5K9.4-001;RP23-5K9.4-004,Q3TWK2;Q8CC06;Q61739-2;Q61739;A2AU05;Q8BR82,Putative uncharacterized protein;Integrin alpha 6;Integrin alpha-6;VLA-6;CD49 antigen-like family member F;Integrin alpha-6 heavy chain;Integrin alpha-6 light chain
IPI00331424;IPI00742413;IPI00742282;IPI00459791;IPI00625183,-0.16,-0.15,0.11,-0.26,0.15,3,3,3,6,1.77E-06,55.4,7,+,3581621,Prpf31;Prp31,Q8CCF0-1;Q8CCF0;Q8CCF0-3;Q8CCF0-2,U4/U6 small nuclear ribonucleoprotein Prp31;Pre-mRNA-processing factor 31;U4/U6 snRNP 61 kDa protein
IPI00331436;IPI00828469,0.16,0.4,0.2,0.13,0.29,18,18,18,57,0.00E+00,56.1,5,+,45884699,Lap3;Lapep,Q9CPY7-1;Q9CPY7;Q9CPY7-2,Cytosol aminopeptidase;Leucine aminopeptidase;Leucyl aminopeptidase;Leucine aminopeptidase 3;Proline aminopeptidase;Prolyl aminopeptidase
IPI00331442;IPI00475322,0.16,0.27,-0.1,0.04,-0.01,8,8,8,79.8,7.37E-132,26,14,-,64741466,Msra;mCG_15870,Q9D6Y7;Q5EBQ7;Q91WK9,"Peptide methionine sulfoxide reductase;Protein-methionine-S-oxide reductase;Peptide-methionine (S)-S-oxide reductase;Methionine sulfoxide reductase A;Methionine sulfoxide reductase A, isoform CRA_c;Msra protein"
IPI00331444,-0.05,-0.06,-0.12,0.09,0.28,9,9,9,13.2,1.75E-154,119.5,7,+,117161939,Ipo7;Ranbp7,Q9EPL8,Importin-7;Ran-binding protein 7
IPI00331507;IPI00886393,0.01,0.01,0,0.05,-0.06,25,25,15,30.6,4.92E-97,99,9,-,53422687,Cul5,Q9D5V5;Q05CY9;Q2M4H5;Q8BYN6,Cullin-5;Cul5 protein;Cullin 5;Putative uncharacterized protein
IPI00331515;IPI00762534;IPI00831157;IPI00137503;IPI00319666;IPI00831062,,,,,,3,3,3,8.5,7.42E-07,55.4,8,-,87228611,Nfix,Q5CZY4;P70257-3;P70257;P70257-1;P70257-2;Q3TYK3,Nuclear factor 1;Nuclear factor 1 X-type;NFI-X;NF-I/X;CCAAT-box-binding transcription factor;TGGCA-binding protein
IPI00331524;IPI00762654,0.01,0.03,-0.17,-0.02,0.18,4,3,3,11.8,1.87E-23,39.2,19,-,44109438,Erlin1;Keo4;Spfh1,Q91X78,Erlin-1;Endoplasmic reticulum lipid raft-associated protein 1;Stomatin-prohibitin-flotillin-HflC/K domain-containing protein 1;Protein KE04 homolog
IPI00331527;IPI00135099;IPI00648606,-0.31,0.14,,,,2,2,2,3.5,2.33E-22,77.5,12,+,21292219,Cpsf3;Cpsf73,Q3TC91;Q3U057;Q3UDS1;Q8BRA5;Q8CIM0;Q9CT87;Q9CWL0;Q9QXK7;Q497G2,Putative uncharacterized protein;Cleavage and polyadenylation specificity factor 3;Cleavage and polyadenylation specificity factor subunit 3;Cleavage and polyadenylation specificity factor 73 kDa subunit;Cpsf3 protein
IPI00331528,-0.06,-0.05,-0.19,0.03,-0.17,4,4,4,43.9,8.31E-34,11.9,13,+,75977355,Glrx;Glrx1;Grx;Grx1;RP23-475P8.1-001;mCG_5555,Q9QUH0;Q3U6L3;Q9D6F8,"Glutaredoxin-1;Thioltransferase-1;Glutaredoxin;Putative uncharacterized protein;Glutaredoxin, isoform CRA_a"
IPI00331539;IPI00761651,0.56,-0.07,-0.14,,,4,4,4,9.2,6.46E-08,71.4,9,-,40821709,Ubash3b;Sts1,Q8BGG7-1;Q8BGG7;Q8BGG7-2,Ubiquitin-associated and SH3 domain-containing protein B;Suppressor of T-cell receptor signaling 1;Cbl-interacting protein p70
IPI00331541,0.1,0.08,0.05,-0.06,-0.04,19,18,18,29.2,1.11E-242,85.3,15,+,97939000,Pfkm;Pfk-m;Pfka;PFK-M,P47857;O35514;Q1LZL7;Q99K08,"6-phosphofructokinase, muscle type;Phosphofructokinase 1;Phosphohexokinase;Phosphofructo-1-kinase isozyme A;Phosphofructokinase-M (Connecting peptide);Pfkm protein;Phosphofructokinase, muscle"
IPI00331543;IPI00130555,-0.17,-0.18,,,-0.08,6,6,6,11.5,1.26E-70,89.4,5,+,121098831,Rasal1;mCG_17209;Rasal,Q3TQ19;Q99K69;Q9Z268,Putative uncharacterized protein;RAS protein activator like 1 (GAP1 like);RasGAP-activating-like protein 1
IPI00331549,0.32,0.48,0.5,0.45,-0.03,6,6,6,24.9,4.99E-95,34,14,-,56357859,Dhrs1;D14ertd484e,Q99L04;Q3TVU9,Dehydrogenase/reductase SDR family member 1;Putative uncharacterized protein
IPI00331555,,,,-0.1,,2,2,2,8.3,7.01E-05,50.8,7,-,26414966,Bckdha;mCG_7651,P50136;Q3U3J1;Q99L69,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial;Branched-chain alpha-keto acid dehydrogenase E1 component alpha chain;Putative uncharacterized protein;Branched chain ketoacid dehydrogenase E1, alpha polypeptide"
IPI00331556,0,-0.04,-0.07,0.02,0.04,48,48,46,65.8,0.00E+00,94.1,11,-,53075074,Hspa4;Apg2;Hsp110;RP23-337J7.3-001;mCG_113604;mKIAA4025,Q61316;Q3U2G2;Q571M2;Q8C6R3;Q99L75,"Heat shock 70 kDa protein 4;Heat shock 70-related protein APG-2;Heat shock protein 4;Putative uncharacterized protein;Heat shock protein 4, isoform CRA_a;MKIAA4025 protein"
IPI00331564;IPI00874456,0.04,0.03,-0.05,0.02,-0.13,17,17,17,37.1,0.00E+00,54.6,12,-,32016429,Dld,Q3TIE8;O08749,"Dihydrolipoyl dehydrogenase;Dihydrolipoyl dehydrogenase, mitochondrial;Dihydrolipoamide dehydrogenase"
IPI00331573,,,,,0.48,6,6,6,10.3,5.95E-49,89.8,14,-,56318857,Tgm1,Q9JLF6,Protein-glutamine gamma-glutamyltransferase K;Transglutaminase K;Transglutaminase-1;Epidermal TGase
IPI00331577;IPI00129395,0.04,-0.09,0.2,,,2,2,2,6.6,2.90E-26,55.9,8,-,124405052,Slc7a5;Lat1,Q3UG45;Q3UQM7;Q8R0X8;Q9Z127,"Putative uncharacterized protein;Solute carrier family 7 (Cationic amino acid transporter, y+ system), member 5;Large neutral amino acids transporter small subunit 1;L-type amino acid transporter 1;Solute carrier family 7 member 5;4F2 light chain"
IPI00331596;IPI00652845;IPI00881627;IPI00881315,,0.6,,,-0.41,6,6,6,45.2,2.26E-107,32.4,1,-,72305749,Pecr,Q99MZ7;Q3UXD9,Peroxisomal trans-2-enoyl-CoA reductase;Putative uncharacterized protein
