Accession,Significance (-10lgP),Coverage (%),#Peptides,#Unique,PTM,Adult_1 Area,Adult_2 Area,Adult_3 Area,Adult_4 Area,Old_1 Area,Old_2 Area,Old_3 Area,Old_4 Area,Sample Profile (Ratio),Adult Area,Old Area,Group Profile (Ratio),Avg. Mass,Description
O09165|CASQ1_MOUSE,4.89,8,3,3,,5.87E+05,0,9.05E+04,5.44E+05,0,0,1.20E+05,2.83E+05,1.08:0:0.17:1.00:0:0:0.22:0.52,3.05E+05,1.01E+05,1.00:0.33,45647,Calsequestrin-1 OS=Mus musculus GN=Casq1 PE=2 SV=2
Q02053|UBA1_MOUSE,4.86,9,7,7,NEM_LysineArginine,6.11E+05,7.39E+05,7.06E+05,6.38E+05,6.75E+05,8.33E+05,1.11E+06,8.45E+05,0.96:1.16:1.11:1.00:1.06:1.31:1.74:1.32,6.73E+05,8.67E+05,1.00:1.29,117809,Ubiquitin-like modifier-activating enzyme 1 OS=Mus musculus GN=Uba1 PE=1 SV=1
P24270|CATA_MOUSE,4.64,16,6,6,,6.48E+05,6.10E+05,5.09E+05,6.18E+05,4.60E+05,6.57E+05,1.22E+06,5.24E+05,1.05:0.99:0.82:1.00:0.74:1.06:1.97:0.85,5.96E+05,7.15E+05,1.00:1.20,59765,Catalase OS=Mus musculus GN=Cat PE=1 SV=3
Q571B6|WHAMM_MOUSE,4.62,1,1,1,,5.54E+07,4.88E+07,8.14E+07,7.68E+07,4.26E+07,4.31E+07,3.25E+07,4.77E+07,0.72:0.64:1.06:1.00:0.55:0.56:0.42:0.62,6.34E+07,4.15E+07,1.00:0.65,88997,WASP homolog-associated protein with actin  membranes and microtubules OS=Mus musculus GN=Whamm PE=2 SV=2
Q925E7|2ABD_MOUSE,4.61,2,1,1,,8.20E+04,1.83E+05,1.37E+05,1.37E+05,2.00E+05,2.13E+05,3.22E+05,1.78E+05,0.60:1.33:1.00:1.00:1.46:1.55:2.35:1.30,1.35E+05,2.28E+05,1.00:1.70,51958,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform OS=Mus musculus GN=Ppp2r2d PE=2 SV=1
P50543|S10AB_MOUSE,4.61,11,1,1,N-ethylmaleimide on cysteines,2.17E+05,0,1.69E+05,0,2.25E+05,3.25E+05,8.94E+05,3.82E+05,1.00:0:0.78:0:1.04:1.49:4.12:1.76,9.66E+04,4.57E+05,1.00:4.73,11083,Protein S100-A11 OS=Mus musculus GN=S100a11 PE=2 SV=1
P05201|AATC_MOUSE,4.58,28,11,11,NEM_LysineArginine,3.34E+06,3.21E+06,3.27E+06,3.13E+06,3.41E+06,3.99E+06,4.15E+06,4.24E+06,1.07:1.03:1.04:1.00:1.09:1.28:1.33:1.35,3.24E+06,3.95E+06,1.00:1.22,46232,Aspartate aminotransferase  cytoplasmic OS=Mus musculus GN=Got1 PE=1 SV=2
O88551|CLD1_MOUSE,4.58,7,1,1,,2.20E+05,3.24E+05,3.39E+05,2.52E+05,2.51E+05,1.73E+05,2.48E+05,1.41E+05,0.87:1.29:1.35:1.00:1.00:0.69:0.98:0.56,2.83E+05,2.03E+05,1.00:0.72,22881,Claudin-1 OS=Mus musculus GN=Cldn1 PE=1 SV=1
Q03265|ATPA_MOUSE,4.58,30,15,14,NEM_LysineArginine,5.90E+06,6.70E+06,5.51E+06,7.16E+06,4.39E+06,5.02E+06,7.30E+06,4.72E+06,0.82:0.94:0.77:1.00:0.61:0.70:1.02:0.66,6.32E+06,5.36E+06,1.00:0.85,59753,ATP synthase subunit alpha  mitochondrial OS=Mus musculus GN=Atp5a1 PE=1 SV=1
P15532|NDKA_MOUSE,4.54,38,6,1,N-ethylmaleimide on cysteines; NEM_LysineArginine,9.52E+04,8.68E+04,7.37E+04,5.81E+04,8.54E+04,1.19E+05,1.57E+05,1.52E+05,1.64:1.49:1.27:1.00:1.47:2.04:2.71:2.61,7.85E+04,1.28E+05,1.00:1.63,17208,Nucleoside diphosphate kinase A OS=Mus musculus GN=Nme1 PE=1 SV=1
P46460|NSF_MOUSE,4.51,3,3,2,,3.18E+05,3.63E+05,3.83E+05,3.65E+05,2.97E+05,2.68E+05,3.21E+05,2.54E+05,0.87:0.99:1.05:1.00:0.81:0.73:0.88:0.69,3.57E+05,2.85E+05,1.00:0.80,82613,Vesicle-fusing ATPase OS=Mus musculus GN=Nsf PE=1 SV=2
Q9JLB0|MPP6_MOUSE,4.5,8,4,4,NEM_LysineArginine,1.50E+05,2.49E+05,2.25E+05,2.19E+05,1.89E+05,1.85E+05,1.43E+05,1.78E+05,0.69:1.14:1.03:1.00:0.86:0.85:0.65:0.81,2.11E+05,1.74E+05,1.00:0.82,62631,MAGUK p55 subfamily member 6 OS=Mus musculus GN=Mpp6 PE=1 SV=1
P21278|GNA11_MOUSE,4.5,12,3,2,NEM_LysineArginine,5.87E+04,9.50E+04,1.64E+05,7.10E+04,1.57E+05,1.79E+05,1.79E+05,1.52E+05,0.83:1.34:2.32:1.00:2.21:2.53:2.53:2.14,9.73E+04,1.67E+05,1.00:1.72,42024,Guanine nucleotide-binding protein subunit alpha-11 OS=Mus musculus GN=Gna11 PE=1 SV=1
P04938|MUP8_MOUSE,4.46,31,4,4,D5 N-ethylmaleimide on cysteines,1.82E+06,8.05E+05,5.73E+05,9.81E+05,4.65E+05,6.77E+05,6.57E+05,2.92E+05,1.86:0.82:0.58:1.00:0.47:0.69:0.67:0.30,1.09E+06,5.10E+05,1.00:0.47,17560,Major urinary proteins 11 and 8 (Fragment) OS=Mus musculus GN=Mup8 PE=1 SV=1
Q61205|PA1B3_MOUSE,4.43,4,1,1,,1.03E+05,1.45E+05,9.44E+04,1.22E+05,1.43E+05,1.65E+05,2.10E+05,1.52E+05,0.85:1.19:0.78:1.00:1.17:1.36:1.72:1.25,1.16E+05,1.67E+05,1.00:1.44,25853,Platelet-activating factor acetylhydrolase IB subunit gamma OS=Mus musculus GN=Pafah1b3 PE=1 SV=1
Q99MZ6|MYO7B_MOUSE,4.41,1,2,1,,0,3.83E+05,5.06E+05,0,5.41E+05,6.89E+05,6.90E+05,5.19E+05,0:1.00:1.32:0:1.41:1.80:1.80:1.36,2.22E+05,6.10E+05,1.00:2.74,240798,Myosin-VIIb OS=Mus musculus GN=Myo7b PE=1 SV=2
Q05144|RAC2_MOUSE,4.39,6,2,2,NEM_LysineArginine,4.20E+05,4.99E+05,5.30E+05,5.27E+05,5.37E+05,5.84E+05,7.18E+05,6.09E+05,0.80:0.95:1.00:1.00:1.02:1.11:1.36:1.16,4.91E+05,6.12E+05,1.00:1.25,21441,Ras-related C3 botulinum toxin substrate 2 OS=Mus musculus GN=Rac2 PE=2 SV=1
Q99M71|EPDR1_MOUSE,4.37,11,2,2,,3.56E+05,3.98E+05,3.02E+05,3.41E+05,2.48E+05,2.20E+05,1.13E+05,1.90E+05,1.04:1.17:0.88:1.00:0.73:0.64:0.33:0.56,3.49E+05,2.04E+05,1.00:0.58,25485,Mammalian ependymin-related protein 1 OS=Mus musculus GN=Epdr1 PE=2 SV=1
Q60692|PSB6_MOUSE,4.35,9,2,2,,2.53E+05,1.09E+05,1.16E+05,9.40E+04,8.83E+04,2.90E+05,4.78E+05,1.13E+05,2.69:1.16:1.23:1.00:0.94:3.08:5.09:1.20,1.43E+05,2.42E+05,1.00:1.69,25379,Proteasome subunit beta type-6 OS=Mus musculus GN=Psmb6 PE=1 SV=3
O88342|WDR1_MOUSE,4.34,11,4,4,N-ethylmaleimide on cysteines; NEM_LysineArginine,2.07E+05,2.74E+05,3.93E+04,2.27E+05,2.47E+05,4.11E+05,1.02E+06,1.29E+05,0.91:1.21:0.17:1.00:1.09:1.81:4.48:0.57,1.87E+05,4.51E+05,1.00:2.41,66407,WD repeat-containing protein 1 OS=Mus musculus GN=Wdr1 PE=1 SV=3
O70318|E41L2_MOUSE,4.29,33,30,26,N-ethylmaleimide on cysteines; NEM_LysineArginine,6.92E+06,7.89E+06,8.11E+06,6.89E+06,9.11E+06,7.99E+06,7.64E+06,8.77E+06,1.00:1.14:1.18:1.00:1.32:1.16:1.11:1.27,7.45E+06,8.38E+06,1.00:1.12,109833,Band 4.1-like protein 2 OS=Mus musculus GN=Epb41l2 PE=1 SV=1
Q60605|MYL6_MOUSE,4.28,29,5,5,N-ethylmaleimide on cysteines; NEM_LysineArginine,6.14E+05,3.82E+05,5.27E+05,2.80E+05,5.93E+04,5.21E+05,1.39E+06,2.12E+05,2.20:1.37:1.88:1.00:0.21:1.86:4.98:0.76,4.51E+05,5.46E+05,1.00:1.21,16930,Myosin light polypeptide 6 OS=Mus musculus GN=Myl6 PE=1 SV=3
Q9JLV1|BAG3_MOUSE,4.27,2,1,1,,0,5.50E+05,4.32E+05,5.73E+05,0,1.06E+05,1.08E+05,0,0:0.96:0.75:1.00:0:0.19:0.19:0,3.89E+05,5.35E+04,1.00:0.14,61828,BAG family molecular chaperone regulator 3 OS=Mus musculus GN=Bag3 PE=1 SV=1
P09470|ACE_MOUSE,4.25,1,1,1,,9.68E+04,0,1.50E+05,0,1.32E+05,1.74E+05,2.98E+05,1.53E+05,1.00:0:1.55:0:1.36:1.80:3.08:1.58,6.18E+04,1.89E+05,1.00:3.06,150918,Angiotensin-converting enzyme OS=Mus musculus GN=Ace PE=1 SV=3
O35350|CAN1_MOUSE,4.23,3,2,2,,1.55E+05,1.43E+05,1.54E+05,1.38E+05,2.49E+05,3.64E+05,5.77E+05,1.61E+05,1.13:1.04:1.12:1.00:1.81:2.64:4.20:1.17,1.47E+05,3.38E+05,1.00:2.29,82106,Calpain-1 catalytic subunit OS=Mus musculus GN=Capn1 PE=2 SV=1
Q9QYB5|ADDG_MOUSE,4.23,7,5,5,,3.98E+05,4.61E+05,4.34E+05,4.42E+05,4.43E+05,6.53E+05,8.28E+05,4.38E+05,0.90:1.04:0.98:1.00:1.00:1.48:1.88:0.99,4.34E+05,5.90E+05,1.00:1.36,78763,Gamma-adducin OS=Mus musculus GN=Add3 PE=1 SV=1
P97346|NXN_MOUSE,4.22,2,1,1,,1.54E+08,1.77E+08,1.59E+08,1.62E+08,2.05E+08,1.77E+08,1.70E+08,2.28E+08,0.95:1.09:0.98:1.00:1.26:1.09:1.05:1.41,1.63E+08,1.95E+08,1.00:1.20,48344,Nucleoredoxin OS=Mus musculus GN=Nxn PE=1 SV=1
P26039|TLN1_MOUSE,4.21,1,3,2,,4.35E+04,1.42E+04,0,1.92E+04,1.78E+04,0,1.77E+05,0,2.27:0.74:0:1.00:0.93:0:9.24:0,1.92E+04,4.88E+04,1.00:2.54,269831,Talin-1 OS=Mus musculus GN=Tln1 PE=1 SV=1
Q3V384|LACE1_MOUSE,4.19,1,1,1,NEM_LysineArginine,1.59E+07,1.21E+07,1.11E+07,1.76E+07,1.42E+07,2.05E+07,2.50E+07,1.91E+07,0.90:0.69:0.63:1.00:0.81:1.16:1.42:1.08,1.42E+07,1.97E+07,1.00:1.39,54313,Lactation elevated protein 1 OS=Mus musculus GN=Lace1 PE=2 SV=1
P48722|HS74L_MOUSE,4.18,6,4,4,NEM_LysineArginine,4.30E+05,4.73E+05,5.29E+05,5.07E+05,5.96E+05,5.78E+05,6.00E+05,6.20E+05,0.85:0.93:1.04:1.00:1.18:1.14:1.18:1.22,4.85E+05,5.99E+05,1.00:1.24,94382,Heat shock 70 kDa protein 4L OS=Mus musculus GN=Hspa4l PE=1 SV=2
P14602|HSPB1_MOUSE,4.17,42,7,7,NEM_LysineArginine,1.76E+06,2.12E+06,1.97E+06,2.06E+06,1.70E+06,1.58E+06,1.72E+06,1.43E+06,0.86:1.03:0.96:1.00:0.83:0.76:0.84:0.70,1.98E+06,1.61E+06,1.00:0.81,23014,Heat shock protein beta-1 OS=Mus musculus GN=Hspb1 PE=1 SV=3
Q64442|DHSO_MOUSE,4.16,3,1,1,,2.27E+05,2.42E+05,2.95E+05,2.34E+05,3.01E+05,3.43E+05,3.44E+05,3.33E+05,0.97:1.04:1.26:1.00:1.29:1.47:1.47:1.42,2.50E+05,3.30E+05,1.00:1.32,38249,Sorbitol dehydrogenase OS=Mus musculus GN=Sord PE=1 SV=3
Q8C522|ENDD1_MOUSE,4.14,6,3,3,,3.31E+05,4.76E+05,3.22E+05,4.00E+05,2.56E+05,3.23E+05,3.29E+05,2.50E+05,0.83:1.19:0.80:1.00:0.64:0.81:0.82:0.63,3.82E+05,2.87E+05,1.00:0.75,55262,Endonuclease domain-containing 1 protein OS=Mus musculus GN=Endod1 PE=1 SV=2
P63028|TCTP_MOUSE,4.12,27,5,4,N-ethylmaleimide on cysteines; NEM_LysineArginine,2.96E+05,1.28E+05,1.90E+05,5.60E+04,3.06E+05,4.39E+05,7.12E+05,4.74E+05,5.29:2.29:3.39:1.00:5.46:7.84:12.71:8.46,1.78E+05,4.83E+05,1.00:2.72,19462,Translationally-controlled tumor protein OS=Mus musculus GN=Tpt1 PE=1 SV=1
Q99P72|RTN4_MOUSE,4.08,2,3,3,,3.09E+05,4.20E+05,3.07E+05,3.35E+05,2.11E+05,3.09E+05,4.11E+05,2.21E+05,0.92:1.25:0.92:1.00:0.63:0.92:1.23:0.66,3.43E+05,2.86E+05,1.00:0.83,126613,Reticulon-4 OS=Mus musculus GN=Rtn4 PE=1 SV=2
O08583|THOC4_MOUSE,4.08,4,1,1,,2.34E+05,2.78E+05,2.42E+05,0,2.01E+05,3.89E+05,9.24E+05,2.02E+05,1.00:1.19:1.03:0:0.86:1.66:3.95:0.86,1.88E+05,4.29E+05,1.00:2.28,26940,THO complex subunit 4 OS=Mus musculus GN=Thoc4 PE=1 SV=3
O35893|SP100_MUSCR,4.08,2,1,1,NEM_LysineArginine,2.63E+07,3.40E+07,2.63E+07,2.72E+07,2.47E+07,2.55E+07,1.84E+07,2.36E+07,0.97:1.25:0.97:1.00:0.91:0.94:0.68:0.87,2.84E+07,2.30E+07,1.00:0.81,55168,Nuclear autoantigen Sp-100 OS=Mus caroli GN=Sp100 PE=2 SV=2
Q9JJV2|PROF2_MOUSE,4.07,11,1,1,NEM_LysineArginine,1.65E+06,1.77E+06,1.50E+06,1.20E+06,1.68E+06,1.77E+06,2.47E+06,2.29E+06,1.38:1.47:1.25:1.00:1.40:1.48:2.06:1.91,1.53E+06,2.05E+06,1.00:1.34,15032,Profilin-2 OS=Mus musculus GN=Pfn2 PE=1 SV=3
Q3U7R1|ESYT1_MOUSE,4.07,5,4,4,,1.13E+05,1.59E+05,2.11E+05,1.32E+05,1.54E+05,2.42E+05,5.45E+05,1.15E+05,0.86:1.21:1.60:1.00:1.17:1.84:4.13:0.88,1.54E+05,2.78E+05,1.00:1.81,121553,Extended synaptotagmin-1 OS=Mus musculus GN=Esyt1 PE=2 SV=2
P99024|TBB5_MOUSE,4.04,62,23,4,Oxidation (M); N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,3.80E+06,5.58E+06,4.44E+06,4.99E+06,4.09E+06,4.36E+06,4.44E+06,2.72E+06,0.76:1.12:0.89:1.00:0.82:0.87:0.89:0.54,4.68E+06,3.90E+06,1.00:0.83,49671,Tubulin beta-5 chain OS=Mus musculus GN=Tubb5 PE=1 SV=1
Q61704|ITIH3_MOUSE,4.02,2,1,1,,4.20E+05,5.97E+05,4.19E+05,5.48E+05,7.36E+05,6.49E+05,9.59E+05,8.43E+05,0.76:1.09:0.76:1.00:1.34:1.18:1.75:1.54,4.96E+05,7.97E+05,1.00:1.61,99366,Inter-alpha-trypsin inhibitor heavy chain H3 OS=Mus musculus GN=Itih3 PE=1 SV=2
A8C756|THADA_MOUSE,4.01,1,2,1,,2.31E+05,3.35E+05,2.80E+05,2.78E+05,4.15E+05,3.34E+05,3.02E+05,4.26E+05,0.83:1.20:1.01:1.00:1.49:1.20:1.09:1.53,2.81E+05,3.69E+05,1.00:1.31,217287,Thyroid adenoma-associated protein homolog OS=Mus musculus GN=Thada PE=2 SV=1
Q9Z140|CPNE6_MOUSE,3.99,9,5,3,N-ethylmaleimide on cysteines,3.30E+05,4.84E+05,3.95E+05,4.10E+05,3.32E+05,2.25E+05,4.10E+04,2.15E+05,0.80:1.18:0.96:1.00:0.81:0.55:0.10:0.52,4.05E+05,2.18E+05,1.00:0.54,61781,Copine-6 OS=Mus musculus GN=Cpne6 PE=1 SV=1
P10637|TAU_MOUSE,3.99,8,4,4,NEM_LysineArginine,9.49E+05,1.00E+06,7.91E+05,1.03E+06,7.26E+05,7.94E+05,8.59E+05,9.76E+05,0.92:0.98:0.77:1.00:0.71:0.77:0.84:0.95,9.43E+05,8.26E+05,1.00:0.88,76243,Microtubule-associated protein tau OS=Mus musculus GN=Mapt PE=1 SV=3
P31786|ACBP_MOUSE,3.98,30,2,2,NEM_LysineArginine,3.62E+05,1.39E+05,8.64E+04,1.36E+05,0,2.75E+05,9.11E+05,5.20E+05,2.67:1.02:0.64:1.00:0:2.03:6.71:3.83,1.81E+05,4.26E+05,1.00:2.36,10000,Acyl-CoA-binding protein OS=Mus musculus GN=Dbi PE=1 SV=2
Q922B2|SYDC_MOUSE,3.96,8,3,3,,6.44E+04,1.44E+05,1.23E+05,8.17E+04,1.61E+05,1.21E+05,3.82E+05,0,0.79:1.76:1.50:1.00:1.97:1.49:4.68:0,1.03E+05,1.81E+05,1.00:1.76,57117,Aspartyl-tRNA synthetase  cytoplasmic OS=Mus musculus GN=Dars PE=2 SV=1
P01868|IGHG1_MOUSE,3.92,5,1,1,,3.26E+05,0,0,0,0,3.64E+05,8.59E+05,1.44E+05,1.00:0:0:0:0:1.11:2.63:0.44,8.16E+04,3.42E+05,1.00:4.19,35705,Ig gamma-1 chain C region secreted form OS=Mus musculus GN=Ighg1 PE=1 SV=1
Q9R0Y5|KAD1_MOUSE,3.9,9,1,1,NEM_LysineArginine,1.08E+06,8.24E+05,4.46E+05,8.90E+05,4.82E+05,4.44E+05,-,2.23E+05,1.21:0.93:0.50:1.00:0.54:0.50:-:0.25,8.09E+05,3.83E+05,1.00:0.47,21540,Adenylate kinase isoenzyme 1 OS=Mus musculus GN=Ak1 PE=1 SV=1
P06745|G6PI_MOUSE,3.9,31,18,17,N-ethylmaleimide on cysteines; NEM_LysineArginine,5.70E+06,5.58E+06,4.44E+06,5.49E+06,4.94E+06,6.32E+06,7.30E+06,6.38E+06,1.04:1.02:0.81:1.00:0.90:1.15:1.33:1.16,5.30E+06,6.24E+06,1.00:1.18,62767,Glucose-6-phosphate isomerase OS=Mus musculus GN=Gpi PE=1 SV=4
P21460|CYTC_MOUSE,3.9,19,2,2,,5.28E+04,6.03E+04,2.70E+04,5.82E+04,0,2.35E+05,3.44E+05,1.28E+05,0.91:1.04:0.46:1.00:0:4.04:5.90:2.19,4.96E+04,1.77E+05,1.00:3.56,15531,Cystatin-C OS=Mus musculus GN=Cst3 PE=2 SV=2
Q9DD18|DTD1_MOUSE,3.89,7,1,1,,2.29E+05,2.32E+05,2.39E+05,2.50E+05,3.08E+05,4.26E+05,2.97E+05,3.22E+05,0.92:0.93:0.95:1.00:1.23:1.70:1.19:1.29,2.37E+05,3.38E+05,1.00:1.42,23384,D-tyrosyl-tRNA(Tyr) deacylase 1 OS=Mus musculus GN=Dtd1 PE=1 SV=2
Q9QXS1|PLEC_MOUSE,3.88,6,28,27,NEM_LysineArginine,3.50E+06,3.63E+06,3.36E+06,4.21E+06,3.30E+06,3.27E+06,2.02E+06,3.42E+06,0.83:0.86:0.80:1.00:0.78:0.78:0.48:0.81,3.67E+06,2.96E+06,1.00:0.81,534221,Plectin OS=Mus musculus GN=Plec PE=1 SV=2
Q9WTR5|CAD13_MOUSE,3.85,2,1,1,,1.57E+05,7.02E+04,1.94E+05,7.20E+04,4.60E+04,0,1.38E+05,5.28E+04,2.18:0.98:2.70:1.00:0.64:0:1.91:0.73,1.23E+05,5.92E+04,1.00:0.48,78286,Cadherin-13 OS=Mus musculus GN=Cdh13 PE=1 SV=1
P50518|VATE1_MOUSE,3.83,11,2,2,NEM_LysineArginine,0,7.65E+04,0,5.96E+04,7.10E+04,8.58E+04,3.25E+05,3.30E+04,0:1.28:0:1.00:1.19:1.44:5.45:0.55,3.40E+04,1.29E+05,1.00:3.78,26157,V-type proton ATPase subunit E 1 OS=Mus musculus GN=Atp6v1e1 PE=1 SV=2
P27546|MAP4_MOUSE,3.81,9,5,5,NEM_LysineArginine,1.10E+06,9.71E+05,7.29E+05,1.02E+06,6.22E+05,8.57E+05,1.27E+06,7.91E+05,1.08:0.95:0.72:1.00:0.61:0.84:1.25:0.78,9.54E+05,8.86E+05,1.00:0.93,117429,Microtubule-associated protein 4 OS=Mus musculus GN=Map4 PE=1 SV=3
P63054|PCP4_MOUSE,3.81,42,2,2,,5.32E+05,7.19E+05,4.44E+05,7.23E+05,4.19E+05,4.09E+05,4.29E+05,6.84E+05,0.74:0.99:0.61:1.00:0.58:0.57:0.59:0.95,6.05E+05,4.85E+05,1.00:0.80,6807,Purkinje cell protein 4 OS=Mus musculus GN=Pcp4 PE=2 SV=2
Q9JHL1|NHRF2_MOUSE,3.78,4,1,1,,3.98E+05,1.71E+05,1.56E+05,2.41E+05,1.32E+05,0,0,1.54E+05,1.65:0.71:0.65:1.00:0.55:0:0:0.64,2.42E+05,7.15E+04,1.00:0.30,37403,Na(+)/H(+) exchange regulatory cofactor NHE-RF2 OS=Mus musculus GN=Slc9a3r2 PE=1 SV=2
O54931|AKAP2_MOUSE,3.76,1,1,1,,1.86E+06,1.49E+06,1.56E+06,2.02E+06,1.88E+06,2.26E+06,2.51E+06,2.15E+06,0.92:0.74:0.77:1.00:0.93:1.12:1.24:1.06,1.73E+06,2.20E+06,1.00:1.27,98579,A-kinase anchor protein 2 OS=Mus musculus GN=Akap2 PE=1 SV=3
O88322|NID2_MOUSE,3.72,10,12,11,NEM_LysineArginine,8.66E+05,1.31E+06,6.88E+05,1.19E+06,9.87E+05,8.75E+05,1.51E+06,4.03E+05,0.73:1.10:0.58:1.00:0.83:0.74:1.27:0.34,1.01E+06,9.92E+05,1.00:0.98,154249,Nidogen-2 OS=Mus musculus GN=Nid2 PE=1 SV=1
Q9EQU5|SET_MOUSE,3.72,9,3,3,NEM_LysineArginine,2.12E+05,1.96E+05,2.48E+05,1.45E+05,9.65E+04,3.20E+05,6.97E+05,2.30E+05,1.46:1.35:1.71:1.00:0.66:2.20:4.79:1.58,2.01E+05,3.36E+05,1.00:1.67,33378,Protein SET OS=Mus musculus GN=Set PE=1 SV=1
Q6PIE5|AT1A2_MOUSE,3.71,21,19,1,N-ethylmaleimide on cysteines; D5 N-ethylmaleimide on cysteines; NEM_LysineArginine,2.98E+05,2.78E+05,2.83E+05,2.87E+05,3.36E+05,-,7.87E+05,4.59E+05,1.04:0.97:0.99:1.00:1.17:-:2.74:1.60,2.87E+05,5.27E+05,1.00:1.84,112217,Sodium/potassium-transporting ATPase subunit alpha-2 OS=Mus musculus GN=Atp1a2 PE=1 SV=1
P62264|RS14_MOUSE,3.7,9,1,1,,4.77E+05,5.52E+05,4.81E+05,4.66E+05,4.21E+05,6.41E+05,1.38E+06,4.54E+05,1.03:1.18:1.03:1.00:0.90:1.38:2.97:0.98,4.94E+05,7.25E+05,1.00:1.47,16273,40S ribosomal protein S14 OS=Mus musculus GN=Rps14 PE=2 SV=3
Q9Z0F7|SYUG_MOUSE,3.69,62,6,6,NEM_LysineArginine,2.78E+06,2.75E+06,2.03E+06,2.79E+06,1.78E+06,2.62E+06,3.46E+06,3.61E+06,0.99:0.98:0.73:1.00:0.64:0.94:1.24:1.29,2.59E+06,2.87E+06,1.00:1.11,13160,Gamma-synuclein OS=Mus musculus GN=Sncg PE=1 SV=1
Q8VI13|Q8VI13_MOUSE,3.65,8,2,2,,3.98E+05,0,0,0,0,3.00E+05,0,6.50E+05,1.00:0:0:0:0:0.76:0:1.63,9.95E+04,2.38E+05,1.00:2.39,29909,Seminal vesicle secretion III OS Mus musculus GN Svs3a PE 2 SV 1
P56376|ACYP1_MOUSE,3.62,21,2,2,,3.11E+05,2.50E+05,2.07E+05,2.40E+05,2.63E+05,2.85E+05,4.29E+05,4.21E+05,1.30:1.05:0.86:1.00:1.10:1.19:1.79:1.76,2.52E+05,3.49E+05,1.00:1.39,11241,Acylphosphatase-1 OS=Mus musculus GN=Acyp1 PE=2 SV=2
Q6P5H2|NEST_MOUSE,3.6,15,25,24,N-ethylmaleimide on cysteines; NEM_LysineArginine,1.15E+06,8.84E+05,8.93E+05,8.98E+05,1.02E+06,9.95E+05,1.99E+06,8.27E+05,1.28:0.98:0.99:1.00:1.13:1.11:2.21:0.92,9.62E+05,1.21E+06,1.00:1.25,207122,Nestin OS=Mus musculus GN=Nes PE=1 SV=1
Q9EQH3|VPS35_MOUSE,3.57,3,2,2,,1.34E+05,1.39E+05,1.66E+05,1.33E+05,1.62E+05,1.58E+05,2.56E+05,1.39E+05,1.00:1.05:1.25:1.00:1.22:1.19:1.93:1.04,1.43E+05,1.79E+05,1.00:1.25,91713,Vacuolar protein sorting-associated protein 35 OS=Mus musculus GN=Vps35 PE=1 SV=1
P60766|CDC42_MOUSE,3.56,7,1,1,,0,6.35E+04,0,6.33E+04,8.08E+04,0,3.61E+05,1.23E+05,0:1.00:0:1.00:1.28:0:5.71:1.95,3.17E+04,1.41E+05,1.00:4.46,21311,Cell division control protein 42 homolog OS=Mus musculus GN=Cdc42 PE=1 SV=1
P61148|FGF1_MOUSE,3.51,7,1,1,,1.19E+06,1.25E+06,1.11E+06,1.09E+06,8.95E+05,8.85E+05,7.11E+05,9.85E+05,1.09:1.14:1.02:1.00:0.82:0.81:0.65:0.90,1.16E+06,8.69E+05,1.00:0.75,17418,Heparin-binding growth factor 1 OS=Mus musculus GN=Fgf1 PE=2 SV=1
Q9JHU2|PALMD_MOUSE,3.51,6,2,2,,2.04E+05,2.30E+05,2.23E+05,2.16E+05,4.29E+04,7.83E+04,2.09E+05,7.87E+04,0.95:1.07:1.03:1.00:0.20:0.36:0.97:0.36,2.18E+05,1.02E+05,1.00:0.47,62700,Palmdelphin OS=Mus musculus GN=Palmd PE=1 SV=1
Q8R2Y2|MUC18_MOUSE,3.51,2,2,2,D5 N-ethylmaleimide on cysteines,1.51E+05,1.39E+05,1.84E+05,2.58E+05,2.28E+05,2.51E+05,5.81E+05,1.20E+05,0.58:0.54:0.71:1.00:0.88:0.97:2.25:0.47,1.83E+05,2.95E+05,1.00:1.61,71546,Cell surface glycoprotein MUC18 OS=Mus musculus GN=Mcam PE=1 SV=1
P97820|M4K4_MOUSE,3.5,1,1,1,,1.50E+06,1.71E+06,1.66E+06,1.58E+06,1.56E+06,1.82E+06,3.40E+06,1.68E+06,0.94:1.08:1.05:1.00:0.99:1.15:2.15:1.06,1.61E+06,2.11E+06,1.00:1.31,140602,Mitogen-activated protein kinase kinase kinase kinase 4 OS=Mus musculus GN=Map4k4 PE=1 SV=1
Q00915|RET1_MOUSE,3.47,7,1,1,,0,0,7.45E+04,0,8.30E+04,0,2.27E+05,9.71E+04,0:0:1.00:0:1.11:0:3.05:1.30,1.86E+04,1.02E+05,1.00:5.46,15846,Retinol-binding protein 1 OS=Mus musculus GN=Rbp1 PE=2 SV=2
P20918|PLMN_MOUSE,3.46,1,1,1,,0,1.46E+05,0,1.63E+05,2.98E+05,3.39E+05,5.62E+05,0,0:0.90:0:1.00:1.83:2.08:3.45:0,7.71E+04,3.00E+05,1.00:3.89,90782,Plasminogen OS=Mus musculus GN=Plg PE=1 SV=2
