Accession,Description,Entry Name,Gene names,Y1_OG  (Spec count),Y2_OG (Spec count),Y3_OG (Spec count),Y4_OG (Spec count),Y5_OG (Spec count),Y6_OG (Spec count),Y1_HP (Spec count),Y2_HP (Spec count),Y3_HP (Spec count),Y4_HP (Spec count),Y5_HP (Spec count),Y6_HP (Spec count),O1_OG (Spec count),O2_OG (Spec count),O3_OG (Spec count),O4_OG (Spec count),O5_OG (Spec count),O6_OG (Spec count),O1_HP (Spec count),O2_HP (Spec count),O3_HP (Spec count),O4_HP (Spec count),O5_HP (Spec count),O6_HP (Spec count),G_value OG,SAM (D) OG,OG_Fold Change (Old/Young),G_value HP,SAM (D) HP,HP_Fold Change (Old/Young),G-val OG_HP,SAM (D) OG_HP
Q3UHF3,Isoform 2 of Mesoderm induction early response protein 3 OS=Mus musculus GN=Mier3,MIER3_MOUSE,Mier3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q3UPC7,Uncharacterized protein KIAA0825 homolog OS=Mus musculus PE=2 SV=3,K0825_MOUSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q3UYG1,Coiled-coil domain-containing protein 160 OS=Mus musculus GN=Ccdc160 PE=2 SV=1,CC160_MOUSE,Ccdc160,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q4KMM3,Isoform 4 of Oxidation resistance protein 1 OS=Mus musculus GN=Oxr1,OXR1_MOUSE,Oxr1 C7 Gm1238,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q5PR68,Centrosomal protein of 112 kDa OS=Mus musculus GN=Cep112 PE=2 SV=2,CE112_MOUSE,Cep112 Ccdc46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q60651,Isoform D2 of Killer cell lectin-like receptor 4 OS=Mus musculus GN=Klra4,KLRA4_MOUSE,Klra4 Ly-49d Ly49-d Ly49d,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q60750,Ephrin type-A receptor 1 OS=Mus musculus GN=Epha1 PE=1 SV=2,EPHA1_MOUSE,Epha1 Esk,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q61772,Isoform 5 of Ephrin type-A receptor 7 OS=Mus musculus GN=Epha7,EPHA7_MOUSE,Epha7 Ebk Ehk3 Mdk1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q61781,"Keratin, type I cytoskeletal 14 OS=Homo sapiens GN=KRT14 PE=1 SV=4",K1C14_MOUSE,Krt14 Krt1-14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q64732,Forkhead box protein B1 OS=Mus musculus GN=Foxb1 PE=2 SV=2,FOXB1_MOUSE,Foxb1 Fkh5 Foxb1a Foxb1b Mf3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q6J756,Calpain-11 OS=Mus musculus GN=Capn11 PE=1 SV=1,CAN11_MOUSE,Capn11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q6P560,Zinc finger protein 182 OS=Mus musculus GN=Znf182 PE=2 SV=1,ZN182_MOUSE,Znf182 Zfp182 Znf21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q6ZPF4,Isoform 2 of Formin-like protein 3 OS=Mus musculus GN=Fmnl3,FMNL3_MOUSE,Fmnl3 Frl2 Kiaa2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q70IV5,Isoform 3 of Synemin OS=Mus musculus GN=Synm,SYNEM_MOUSE,Synm Dmn Kiaa0353,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q7M6Z4,Isoform 2 of Kinesin-like protein KIF27 OS=Mus musculus GN=Kif27,KIF27_MOUSE,Kif27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q7TQ95,Protein lunapark OS=Mus musculus GN=Lnp PE=1 SV=1,LNP_MOUSE,Lnp Kiaa1715 Uln,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q80W14,Isoform 3 of Pre-mRNA-processing factor 40 homolog B OS=Mus musculus GN=Prpf40b,PR40B_MOUSE,Prpf40b Hypc,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q80YV4,Isoform 3 of Pantothenate kinase 4 OS=Mus musculus GN=Pank4,PANK4_MOUSE,Pank4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q8BFY9,Isoform 2 of Transportin-1 OS=Mus musculus GN=Tnpo1,TNPO1_MOUSE,Tnpo1 Kpnb2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q8BI22,Isoform 2 of Centrosomal protein of 128 kDa OS=Mus musculus GN=Cep128,CE128_MOUSE,Cep128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q8BLA8,Transient receptor potential cation channel subfamily A member 1 OS=Mus musculus GN=Trpa1 PE=1 SV=1,TRPA1_MOUSE,Trpa1 Anktm1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q8BMJ7,Cell growth regulator with RING finger domain protein 1 OS=Mus musculus GN=Cgrrf1 PE=2 SV=1,CGRF1_MOUSE,Cgrrf1 Cgr19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q8BMK0,Centrosomal protein of 85 kDa OS=Mus musculus GN=Cep85 PE=2 SV=2,CEP85_MOUSE,Cep85 Ccdc21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q8BQN6,Zinc finger protein OZF OS=Mus musculus GN=Znf146 PE=2 SV=2,OZF_MOUSE,Znf146 Ozf Zfp146,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q8BRC6,Isoform 2 of Protein MAATS1 OS=Mus musculus GN=Maats1,MAAT1_MOUSE,Maats1 Aat1 Spata26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q8BT07,Isoform 2 of Centrosomal protein of 55 kDa OS=Mus musculus GN=Cep55,CEP55_MOUSE,Cep55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q8BWQ5,Serine/threonine-protein kinase DCLK3 OS=Mus musculus GN=Dclk3 PE=2 SV=2,DCLK3_MOUSE,Dclk3 Dcamkl3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q8CC35,Isoform 3 of Synaptopodin OS=Mus musculus GN=Synpo,SYNPO_MOUSE,Synpo Kiaa1029,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q8CE50,Sorting nexin-30 OS=Mus musculus GN=Snx30 PE=2 SV=1,SNX30_MOUSE,Snx30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q8CFP6,DnaJ homolog subfamily C member 27 OS=Mus musculus GN=Dnajc27 PE=2 SV=1,DJC27_MOUSE,Dnajc27 Rabj Rbj,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q8CG48,Structural maintenance of chromosomes protein 2 OS=Mus musculus GN=Smc2 PE=1 SV=2,SMC2_MOUSE,Smc2 Cape Fin16 Smc2l1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q8CGF7,Isoform 3 of Transcription elongation regulator 1 OS=Mus musculus GN=Tcerg1,TCRG1_MOUSE,Tcerg1 Taf2s,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q8K1N1,Calcium-independent phospholipase A2-gamma OS=Mus musculus GN=Pnpla8 PE=1 SV=1,PLPL8_MOUSE,Pnpla8 Ipla22 Ipla2g,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q8K2T8,RNA polymerase II-associated factor 1 homolog OS=Mus musculus GN=Paf1 PE=2 SV=1,PAF1_MOUSE,Paf1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q8R086,"Sulfite oxidase, mitochondrial OS=Mus musculus GN=Suox PE=2 SV=2",SUOX_MOUSE,Suox,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q8R1Z4,Protein phosphatase 1 regulatory subunit 42 OS=Mus musculus GN=Ppp1r42 PE=1 SV=1,PPR42_MOUSE,Ppp1r42 Lrrc67,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q8R2T8,Isoform 2 of General transcription factor 3C polypeptide 5 OS=Mus musculus GN=Gtf3c5,TF3C5_MOUSE,Gtf3c5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q8VCH8,UBX domain-containing protein 4 OS=Mus musculus GN=Ubxn4 PE=1 SV=1,UBXN4_MOUSE,Ubxn4 Ubxd2 Ubxdc1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q91WQ9,Isoform 2 of Calmodulin-like protein 4 OS=Mus musculus GN=Calml4,CALL4_MOUSE,Calml4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q99JP6,Isoform 2 of Homer protein homolog 3 OS=Mus musculus GN=Homer3,HOME3_MOUSE,Homer3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q9CWV0,Mitochondrial assembly of ribosomal large subunit protein 1 OS=Mus musculus GN=Malsu1 PE=2 SV=1,MASU1_MOUSE,Malsu1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q9D0I6,"WD repeat, SAM and U-box domain-containing protein 1 OS=Mus musculus GN=Wdsub1 PE=2 SV=1",WSDU1_MOUSE,Wdsub1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q9D9C6,Coiled-coil domain-containing protein 182 OS=Mus musculus GN=Ccdc182 PE=2 SV=1,CC182_MOUSE,Ccdc182,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q9DBV4,Matrix-remodeling-associated protein 8 OS=Mus musculus GN=Mxra8 PE=2 SV=1,MXRA8_MOUSE,Mxra8 Asp3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q9ES70,Serine/threonine-protein kinase Nek6 OS=Mus musculus GN=Nek6 PE=1 SV=1,NEK6_MOUSE,Nek6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q9JKZ2,Sodium/myo-inositol cotransporter OS=Mus musculus GN=Slc5a3 PE=1 SV=2,SC5A3_MOUSE,Slc5a3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q9QWL7,"Keratin, type I cytoskeletal 17 OS=Homo sapiens GN=KRT17 PE=1 SV=2",K1C17_MOUSE,Krt17 Krt1-17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q9QXT6,Interleukin-17B OS=Mus musculus GN=Il17b PE=2 SV=1,IL17B_MOUSE,Il17b Nirf Zcyto7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q9QYB8,Alpha-adducin OS=Mus musculus GN=Add1 PE=1 SV=2,ADDB_MOUSE,Add2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q9QYS1,Protein Wnt-16 OS=Mus musculus GN=Wnt16 PE=2 SV=2,WNT16_MOUSE,Wnt16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q9R112,"Sulfide:quinone oxidoreductase, mitochondrial OS=Mus musculus GN=Sqrdl PE=1 SV=3",SQRD_MOUSE,Sqrdl,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q9WVS4,Isoform 2 of MAPK/MAK/MRK overlapping kinase OS=Mus musculus GN=Mok,MOK_MOUSE,Mok Rage Stk30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q9Z0R6,Isoform 2 of Intersectin-2 OS=Mus musculus GN=Itsn2,ITSN2_MOUSE,Itsn2 Ese2 Sh3d1B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q9Z0T6,Polycystic kidney disease and receptor for egg jelly-related protein OS=Mus musculus GN=Pkdrej PE=2 SV=1,PKDRE_MOUSE,Pkdrej,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
Q9Z1G3,V-type proton ATPase subunit C 1 OS=Mus musculus GN=Atp6v1c1 PE=1 SV=4,VATC1_MOUSE,Atp6v1c1 Atp6c Atp6c1 Vatc,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.000229531,-0.598,0.000,0.000,-0.598
A2A7Y5,Isoform 2 of Migration and invasion-inhibitory protein OS=Mus musculus GN=Miip,MIIP_MOUSE,Miip D4Wsu114e Iip45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.01284221,-0.503,0.000,0.007,-0.503
A2ANX9,Zinc finger protein 711 OS=Mus musculus GN=Znf711 PE=3 SV=1,ZN711_MOUSE,Znf711 Zfp711,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.01284221,-0.503,0.000,0.007,-0.503
A2BE28,Isoform 2 of Ribosomal biogenesis protein LAS1L OS=Mus musculus GN=Las1l,LAS1L_MOUSE,Las1l,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.01284221,-0.503,0.000,0.007,-0.503
A3KFM7,Isoform 2 of Chromodomain-helicase-DNA-binding protein 6 OS=Mus musculus GN=Chd6,CHD6_MOUSE,Chd6 Kiaa1335,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.01284221,-0.503,0.000,0.007,-0.503
O08750,Nuclear factor interleukin-3-regulated protein OS=Mus musculus GN=Nfil3 PE=1 SV=1,NFIL3_MOUSE,Nfil3 E4bp4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.01284221,-0.503,0.000,0.007,-0.503
O35493,Isoform 2 of Dual specificity protein kinase CLK4 OS=Mus musculus GN=Clk4,CLK4_MOUSE,Clk4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.01284221,-0.503,0.000,0.007,-0.503
O70310,Glycylpeptide N-tetradecanoyltransferase 1 OS=Mus musculus GN=Nmt1 PE=1 SV=1,NMT1_MOUSE,Nmt1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.01284221,-0.503,0.000,0.007,-0.503
P06798,Homeobox protein Hox-A4 OS=Mus musculus GN=Hoxa4 PE=2 SV=4,HXA4_MOUSE,Hoxa4 Hox-1.4 Hoxa-4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.01284221,-0.503,0.000,0.007,-0.503
P08074,Carbonyl reductase [NADPH] 2 OS=Mus musculus GN=Cbr2 PE=1 SV=1,CBR2_MOUSE,Cbr2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.01284221,-0.503,0.000,0.007,-0.503
P08249,"Malate dehydrogenase, mitochondrial OS=Mus musculus GN=Mdh2 PE=1 SV=3",MDHM_MOUSE,Mdh2 Mor1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.01284221,-0.503,0.000,0.007,-0.503
P17981,T-cell ecto-ADP-ribosyltransferase 1 OS=Mus musculus GN=Art2a PE=1 SV=2,NAR2A_MOUSE,Art2a Art2a-ps Rt6-1 Rt6.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.01284221,-0.503,0.000,0.007,-0.503
P19785,Estrogen receptor OS=Mus musculus GN=Esr1 PE=1 SV=1,ESR1_MOUSE,Esr1 Esr Estr Estra Nr3a1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.01284221,-0.503,0.000,0.007,-0.503
P24288,"Branched-chain-amino-acid aminotransferase, cytosolic OS=Mus musculus GN=Bcat1 PE=2 SV=2",BCAT1_MOUSE,Bcat1 Eca39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.01284221,-0.503,0.000,0.007,-0.503
P26450,Phosphatidylinositol 3-kinase regulatory subunit gamma OS=Mus musculus GN=Pik3r3 PE=1 SV=1,P85A_MOUSE,Pik3r1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.01284221,-0.503,0.000,0.007,-0.503
P27106,Muellerian-inhibiting factor OS=Mus musculus GN=Amh PE=2 SV=1,MIS_MOUSE,Amh,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.01284221,-0.503,0.000,0.007,-0.503
P27870,Proto-oncogene vav OS=Mus musculus GN=Vav1 PE=1 SV=1,VAV_MOUSE,Vav1 Vav,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.01284221,-0.503,0.000,0.007,-0.503
P31254,Ubiquitin-like modifier-activating enzyme 1 Y OS=Mus musculus GN=Uba1y PE=2 SV=2,UBA1Y_MOUSE,Uba1y Sby Ube1ay Ube1y Ube1y1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.01284221,-0.503,0.000,0.007,-0.503
P33610,DNA primase large subunit OS=Mus musculus GN=Prim2 PE=1 SV=1,PRI2_MOUSE,Prim2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.01284221,-0.503,0.000,0.007,-0.503
P41158,ETS domain-containing protein Elk-4 OS=Mus musculus GN=Elk4 PE=2 SV=2,ELK4_MOUSE,Elk4 Sap1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.01284221,-0.503,0.000,0.007,-0.503
P51855,Glutathione synthetase OS=Mus musculus GN=Gss PE=2 SV=1,GSHB_MOUSE,Gss,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.01284221,-0.503,0.000,0.007,-0.503
P97310,DNA replication licensing factor MCM2 OS=Mus musculus GN=Mcm2 PE=1 SV=3,MCM2_MOUSE,Mcm2 Bm28 Cdcl1 Kiaa0030 Mcmd2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.01284221,-0.503,0.000,0.007,-0.503
Q03147,Cyclin-dependent kinase 7 OS=Mus musculus GN=Cdk7 PE=2 SV=2,CDK7_MOUSE,Cdk7 Cak Cdkn7 Crk4 Mo15 Mpk-7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.01284221,-0.503,0.000,0.007,-0.503
Q2VPU4,MLX-interacting protein OS=Mus musculus GN=Mlxip PE=1 SV=1,MLXIP_MOUSE,Mlxip Mir,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.01284221,-0.503,0.000,0.007,-0.503
Q3U319,E3 ubiquitin-protein ligase BRE1B OS=Mus musculus GN=Rnf40 PE=1 SV=2,BRE1B_MOUSE,Rnf40 Bre1b Kiaa0661,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.01284221,-0.503,0.000,0.007,-0.503
Q3V0Y1,Putative SMEK homolog 3 OS=Mus musculus GN=Smek3p PE=5 SV=2,SMEK3_MOUSE,Ppp4r3cp Smek3p,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.01284221,-0.503,0.000,0.007,-0.503
Q5DTN8,Isoform 3 of Janus kinase and microtubule-interacting protein 3 OS=Mus musculus GN=Jakmip3,JKIP3_MOUSE,Jakmip3 Kiaa4091 Necc2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.01284221,-0.503,0.000,0.007,-0.503
Q5RJG1,Nucleolar protein 10 OS=Mus musculus GN=Nol10 PE=2 SV=1,NOL10_MOUSE,Nol10 Gm67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.01284221,-0.503,0.000,0.007,-0.503
Q5SWU9,Isoform 2 of Acetyl-CoA carboxylase 1 OS=Mus musculus GN=Acaca,ACACA_MOUSE,Acaca Acac Gm738,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.000,#DIV/0!,0.01284221,-0.503,0.000,0.007,-0.503
